phases,average probability Tc>300K
Fe Y Tb,0.7166258049999997
Fe Y Ho,0.716571734366667
Fe Dy Er,0.7165693143333332
V Fe Nd,0.7165388265333332
N Fe Re,0.7164513419333335
Fe Ga Ta,0.716373824766667
Fe Sm Re,0.7162730819666666
N Fe Th,0.7161884969999996
Fe Ga Lu,0.7161827232
B Fe Np,0.7161545582999994
Fe Ga Pr,0.7161252739000006
B Si Fe,0.7161200607000001
Fe Sm Hf,0.7160976569333337
Fe Co Cu,0.7160897996333331
Fe Dy Ta,0.7160351450333331
Ti Fe Hf,0.7160062131666668
B Fe Sr,0.7159556107666666
Fe Co Ge,0.7159257935666667
Fe Zr Dy,0.7158921017333337
Fe Dy Lu,0.7158847291
Fe Y Nb,0.7158819268999999
Fe Mo Th,0.7158599677333335
Fe Nd Ho,0.7158511130333338
Ti Fe Nb,0.7158409796333328
B Fe Pa,0.7158244489666669
C Ti Fe,0.7157684230666667
Fe Er Ta,0.7157243315333325
Fe Ni Mo,0.7156700306000001
Fe Nd Tb,0.7156650941000001
Ti Fe Re,0.7156377804666668
Fe Zr Er,0.7156345909666664
Fe Gd Dy,0.7156271333000009
Cr Fe Nd,0.7155996328333338
B Fe Xe,0.7154833808333338
Fe Er Lu,0.7154821791000002
Fe Ga Gd,0.7154427167666665
Fe Y Hf,0.7153916356333335
Fe Ga Zr,0.7153448955999999
Fe Y W,0.7153065391000006
Fe Ni Sm,0.7152546908333337
Fe Mo Pb,0.7152418910999999
C Fe Nd,0.7152045375333334
Fe Co Ir,0.7151844147333328
Fe Co Eu,0.7151346667666668
Fe Pr Dy,0.7151104279
B Fe Ce,0.7150765762000001
V Fe Dy,0.7150431280333331
Fe Ga Tm,0.7150264715666665
Fe Gd Er,0.7150183046333329
Fe Dy Tm,0.7149815970000002
Cr Fe Ga,0.7149533886333336
B Fe Os,0.7149242840333327
Fe Ni Y,0.7148804136
Fe Sm Th,0.7148422463999999
B Fe Ba,0.7148404896666661
V Fe Ga,0.7147281201333329
Si Fe Mo,0.714722949533333
Ti Fe Th,0.7147166219000004
B Fe Ac,0.7147009578666665
Fe Zr Ta,0.7146665424666662
V Fe Er,0.7146514980999998
Cr Fe Dy,0.7146298137000006
Fe Nd W,0.7146150574666665
Fe Ga Ho,0.7145788169333336
Fe Zr Lu,0.7145652693000001
Fe Y Re,0.7145612654000005
Fe Tb Dy,0.7145229191666669
Fe Nb Nd,0.7145165955666666
Fe Co In,0.7145001383999999
Ti Fe Ni,0.7144807927333338
N Si Fe,0.7144491304333326
Fe Nd Re,0.7144278428333337
Fe Er Tm,0.7143936254666671
B Fe Cd,0.7143871966000005
Fe Gd Ta,0.7143815305666672
Fe Lu Ta,0.7143551397000001
Fe Mo Tc,0.7143379622666673
Fe Gd Lu,0.714336873966667
Fe Pr Er,0.7142864370666671
Fe Ga Tb,0.7142559691666663
Fe Nd Hf,0.7142476997333332
Fe Dy Ho,0.7142091236000004
Fe Ho Er,0.7141612632333336
Fe Tb Er,0.7141333008999999
Al Fe Co,0.7140780591333334
Fe Tm Ta,0.7140747533333338
Ti Fe Pb,0.7140238671333329
Cr Fe Er,0.7140045006
Fe Tm Lu,0.7140022745666667
Fe Mo Pu,0.7139801654000002
Fe Zr Gd,0.713951065366667
Fe Zr Pr,0.7139301967666662
V Fe Lu,0.7139020923
Fe Pr Ta,0.713889984033333
Fe Zr Tm,0.7138141310333334
B Fe Ge,0.7137920543666665
V Fe Ta,0.7136279435333341
Fe Ga W,0.7136089413999992
Fe Mo Hg,0.7135910362333338
B Fe Kr,0.7135754788333334
Fe Ga Nb,0.7135714667333336
Fe Gd Tm,0.7135637479000001
Fe Ho Ta,0.7134930192333333
Fe Pr Lu,0.7134903885666666
V Cr Fe,0.7134891143666665
N Fe Hg,0.7134337500333328
N Fe Tc,0.7134272031000002
Fe Tb Lu,0.7134032408666666
Fe Sm Pb,0.7133950128
Si Fe Sm,0.7133931085666665
Cr Fe Lu,0.7133881533666669
N Fe Pb,0.7133868144333326
Fe Tb Ta,0.7133677074666662
C Fe Ga,0.7133611890666667
Fe Mo Pm,0.7133594531666672
Fe Y Th,0.7133195791333335
Fe Zr Ho,0.713306883133333
Ti Fe Tc,0.7132805570333337
Fe Ho Lu,0.7132797201666672
Si Ti Fe,0.7132224383333333
N Fe Pu,0.7132212358666673
V Fe Pr,0.7132075505666671
Fe Ga Re,0.7131991731000001
Cr Fe Ta,0.7131498527
B Fe Pt,0.7131403965666672
Fe Mo Yb,0.7131357613666667
Fe Pr Gd,0.7130958894666667
Fe Ge Mo,0.7130704224000003
C Fe Dy,0.7130291393000002
Fe Dy W,0.7129996286
Fe Mo Np,0.7129754706000001
Ti Fe Pu,0.7129232000666668
Fe Zr Tb,0.7128199423000001
Fe Sm Pu,0.7128165863000007
V Fe Gd,0.7128025180999997
V Fe Zr,0.7128015253333325
N Fe Os,0.7127893737333326
Fe Sr Mo,0.7127666720999997
V Fe Tm,0.7127429128666667
Fe Gd Ho,0.7127402759666668
Cr Fe Pr,0.7127389626333334
Fe Mo Pa,0.712732822
Cr Fe Gd,0.7127105525666667
N Fe Pm,0.7126775121
Fe Ni Nd,0.7126689431666664
Fe Gd Tb,0.7126415096666667
Ti Fe Pm,0.7126228134666666
Fe Nd Th,0.7126107637333337
Fe Pr Tm,0.7126080249333331
N Fe Ni,0.7125813314666665
Fe Pm Sm,0.7125768960999994
Fe Ta W,0.7125751847999998
B Fe Ir,0.712558491666667
Fe Er W,0.7125520802000005
C Fe Er,0.7125298450666662
Fe Tc Sm,0.7124439134333337
Cr Fe Tm,0.7124428204666675
Fe Ge Sm,0.7124338830000001
Fe Ga Hf,0.7124012944
Fe Mo Xe,0.7123966453333332
Fe Dy Re,0.7123720550333338
Ti Fe Np,0.7123582864666662
Ti Fe Hg,0.7123472790666662
Fe Tb Tm,0.7123451565000002
Fe Nb Dy,0.7123237672999995
Fe Ho Tm,0.7123230314666662
Cr Fe Zr,0.7123223454333334
Si Fe Y,0.7122825206333335
Fe Nb Er,0.7122804947000005
Fe Dy Hf,0.7122146348666664
N Sc Fe,0.7122021613666669
B Fe Eu,0.7121889885999998
Fe Y Pb,0.7121703184
Fe Sm Hg,0.7121535105333335
V Fe Ho,0.7121313111666667
Ti Fe Pa,0.7121007364000005
N Fe Np,0.7120969004666665
B Fe Cu,0.712046536133334
Fe Er Hf,0.7120350086666667
N Fe Pa,0.7120259067666671
Fe Zr W,0.7120192732000006
He Fe Co,0.7120037588000002
Fe Er Re,0.7119957116000002
N Fe Yb,0.7119876321666669
V Fe Tb,0.7118992583333333
Fe Pr Ho,0.7118452695333334
Cr Fe Ho,0.7118195260333338
Ti Fe Xe,0.7117729891333332
Fe Mo Ba,0.7117484874000004
Fe Ta Re,0.7117287323666669
Fe Sm Np,0.7117199031333336
Fe Pr Tb,0.711681786533333
Fe Tb Ho,0.7116678402333334
Fe Hf Ta,0.7116591725666668
C Fe Lu,0.7116360329666663
Cr Fe Tb,0.7116331326666666
