phases,av. probability
Mn Ni Ga,0.18133439764933348
Co Ni Zn,0.1813379878110001
B Ni Lu,0.18134903831879995
Al Ni Tb,0.18137210295866663
Al Ni In,0.18139532410500014
Al Co Cu,0.18139863296059136
Ni Pt Au,0.18140194997113332
Ti V Ni,0.1814030571769666
C Ni Pd,0.1814418698248
Ni Rh Yb,0.18152037426099996
Al Co Pt,0.18153476413333341
Cr Co Ni,0.18154839469020007
B Ni Nb,0.18157043390863342
B Mn Cu,0.18157197787003332
Ni Rh Er,0.18158436407993347
Fe Ni Ag,0.18158576825256673
Fe Ni Ho,0.18160146785055
Al Ni W,0.18160526677600006
Mn Ni Zn,0.1816079623986667
B Co Ir,0.18160983989566667
C Mn Ni,0.18162623439400008
Fe Ni Dy,0.1816317968101667
B Ti Fe,0.18165323446536677
Ni Pd Yb,0.18165503103526665
Fe Ni Tm,0.18166573189703328
Ni Pd Er,0.18168533331453343
Fe Ni Hf,0.18169471494443667
Ni Rh In,0.18170613169246666
Al Fe Ir,0.181710864044
Ni Pd Ag,0.18173540931133328
Co Ni Mo,0.18176124947840014
Fe Ni Sm,0.1817973543405067
Al V Fe,0.18180963807300002
Al Ni Y,0.1818636190356666
C Co Ni,0.18188945103683335
Al Ni Nd,0.18189061788133343
Ni Rh Ag,0.18189140205523344
Al Ni Nb,0.1818916906663
Fe Ni Tb,0.1818955153509334
Al Ti Fe,0.18192070631476664
B V Fe,0.18192483426366662
Ni Ir Au,0.18192929568343325
C Ni Rh,0.18193554020966674
Ti Ni Ir,0.1819419431248334
B Ni Y,0.18195826018689992
Co Ni Er,0.18197302470940002
Ni Ir Pt,0.18197488977650014
Fe Ni Ge,0.18198217946093323
Co Cu Pd,0.18201038427190022
Co Ni Yb,0.18202553352149994
Al Co Ir,0.18204956414686674
Fe Ni Y,0.18205395247636663
Ni Cu Zn,0.18206448733856664
Mn Ni Yb,0.18207740000456668
B Ni Re,0.18208412274840002
B Ni Gd,0.18209075896696675
Mn Rh Pd,0.18217347862570005
Al Ni Gd,0.18219721834866667
B Fe Zr,0.18221060281856666
Mn Co Rh,0.18221822869986676
Co Ni Ga,0.18222277110280008
Mn Ni Er,0.1822248645756333
B Ni Nd,0.18222737345600004
Si Fe Ni,0.1822282420865001
B Rh Pt,0.18225264860700002
B Ti Co,0.18225390644793335
Ni Pd Hf,0.18230786489999998
V Fe Rh,0.18233560230340007
Cu Rh Pd,0.18236435062386674
C Ni Cu,0.18237050767070004
Fe Ni Lu,0.18239346622736666
Ni Cu Yb,0.18239642834883335
Mn Ni Ag,0.18239976752126671
Mn Fe Pd,0.18241367774043338
Al Ni Re,0.18241892933633336
Fe Ni W,0.18244033841430005
Mn Ni In,0.1824631858488334
V Ni Ir,0.18246412895383338
Ni Cu Mo,0.18248549644042344
Fe Cu Pd,0.18252458834275012
Ni Cu Er,0.18252494762986668
B Ni Os,0.18253185317586676
Ni Zr Au,0.18255078074400002
Ni Pd Ho,0.18255881084710004
V Fe Pd,0.18256387538773336
Ni Pd In,0.1825918385480001
Mn Cu Pd,0.18259197776150005
V Co Pd,0.1825998431933333
Ni Pd Dy,0.18261100066290006
Ni Ru Rh,0.18261361001349996
Al Ni Os,0.18262085129586675
B V Co,0.1826702336153333
V Ni Zr,0.18268966584086668
Ni Cu Ga,0.18269927819436665
Ni Zr Pt,0.18270073282900004
B Rh Ir,0.18272736043436674
Ni Pd Tb,0.18273365763876684
Cr Mn Ni,0.18274435199020012
B V Rh,0.18275103619566666
B Fe Mo,0.18275918651220013
Al Fe Zr,0.1827688941912334
Al V Co,0.1827766294064666
Ni Cu Ru,0.1827969901488666
B Pd Ir,0.1827983297591
Fe Ni Ta,0.1828018811855334
B Co Zr,0.18280537995190002
Ni Rh Hf,0.1828091054452334
Co Ni Ho,0.18281083320556665
Ni Rh Dy,0.18285200235566668
Fe Ni Nd,0.18285362816759998
Ni Pd W,0.18285504878813336
Si Ni Pd,0.1828637252096333
Co Ni Dy,0.18288633978920005
Mn Ni Ru,0.18289564989593343
Ni Rh Ho,0.18289774311976667
B Ti Pd,0.18289838189343338
Al Ti Co,0.18291013289899993
Co Ni Hf,0.18291684723993337
Co Ni Ag,0.18291745755110006
B Ni Cd,0.1829442190951334
Ni Pd Tm,0.1829553040155001
B V Pd,0.18295646172046676
Mn Co Pd,0.18295753566770012
