phases,average probability Tc>10K
Cu Mg,0.2864447640999999
Nb Tl,0.2853034393199999
Mo Zr,0.2848498587333332
Mo Se,0.2843320346999998
Cl Mo,0.2842061981466668
I V,0.2840450453833335
C Tl,0.2834291848199999
Fe Tb,0.2821292516233335
Ba O,0.2795455185233332
Au C,0.2786901583166665
C F,0.2786320586633332
C S,0.2775355755699999
Mg Te,0.2774486668399999
F V,0.2774208054400001
Bi Nb,0.2772467401233331
P V,0.27680765229
Te V,0.2763597627833332
Mg S,0.2762762405633334
Mg Sr,0.27622293468
Fe Tm,0.2761873859299998
C Cr,0.2760264289166667
C Ta,0.2759595198199999
Cd Nb,0.2757110178366667
Ge V,0.2751451768499999
Nb Ta,0.2750072502499999
Mg P,0.2749018088833333
C P,0.2748517264266666
C Si,0.2738864546066668
Mg Zn,0.2737720765166667
Au V,0.2732184096099997
V Zn,0.2725434731300001
Au Mg,0.2722505940099999
Hf Nb,0.2721098228833334
C La,0.27139332265
Cr V,0.2712942919733332
As Mo,0.2708655637699996
Nb Sb,0.2707615973233332
Pb V,0.2701543200599999
O Y,0.2694361322399999
Mg Tl,0.2673564681666666
La Mg,0.2673157879166666
Ga Li,0.26722344036
Mn Mo,0.2670564947800001
Mg Pb,0.2650012904200001
Nb Pt,0.2645511974233335
In Mg,0.2643964241333332
C Ge,0.2643812818666669
Nb S,0.2643292709699999
Mg Si,0.2639408393666665
Nb W,0.2638884399533331
C Sc,0.2638217775833333
F Mo,0.2633188289666666
Ag C,0.2630496631999998
Nb U,0.2630026373366665
Ta V,0.2626288581999998
Br Mo,0.2622136305699998
Ge Mg,0.2619400850800002
I Mo,0.2615262061333334
C Pt,0.2612746640966667
Ga K,0.2593820131833331
Nb Rh,0.2593054405933332
C Cd,0.25904323745
Hg Mg,0.25779670101
Co Nb,0.2574434481400001
Cd Mg,0.25668363594
Cd V,0.2566495338100001
Ag Mg,0.2566053571333332
Bi Mg,0.2558853127933332
B Mo,0.2558054467333333
N Pu,0.2552114991033333
C Hf,0.2540322812233333
C W,0.2534811047999999
C Co,0.2530440137533332
N Pm,0.2523341358533334
Nb Re,0.2523302954933332
Mo Si,0.2520659099766667
Hf V,0.2518710181633332
Sb V,0.2516621539833334
N Np,0.2514215282233333
S V,0.2512899169366666
Mg Pt,0.2512235116833334
Nb Ru,0.25108723338
Pt V,0.2508359686766666
Nb Ti,0.2506476873100001
Mg Sc,0.2505419979933332
Be Nb,0.249476667363333
Rh V,0.2492494241799998
Mo Zn,0.2492467932166666
Mg Sb,0.2487845645199999
Cr Mo,0.2486531700133334
Co Mg,0.2485118879633335
N Pa,0.2479990355533333
Fe Pu,0.2478590701666667
V W,0.24780055386
C Ru,0.2476857221499999
Mo P,0.24763961018
C Rh,0.2471898363666667
Mg Rh,0.2458758359166664
Re V,0.2454151981166665
C Eu,0.2454126697533334
Au Mo,0.2448988016333335
C Er,0.2446888556200001
Mo Te,0.24452061737
C Re,0.2442031168999999
Fe Np,0.2441823910433332
C Pd,0.2435193348199999
Cl Ga,0.2432694442500001
Be C,0.2431381192466666
Eu Mg,0.2429203896533334
Ru V,0.2415771862033334
C Sm,0.2414714563566664
C U,0.24122174587
Nb Pd,0.2412211517733333
Nb Th,0.2409735605266667
Er Mg,0.2406628229699999
Be Mg,0.2406268411600001
C Yb,0.24018008143
Ti V,0.2399360370433333
Ga Zr,0.2395645003566666
C Nd,0.2390490091866666
Mg Ru,0.2389894079033333
Co V,0.2389258675
Nb Ni,0.2382179776066665
Al O,0.2381830984800002
Mo Ta,0.2380770158466667
O Zr,0.2369798513533333
Hg O,0.2368516789266664
K O,0.2365210660066667
C Ti,0.2362523131299999
Ce Mg,0.2362318203666668
Ge Mo,0.2360334443666666
Ga Rb,0.23598640108
Ir Nb,0.2358814860233334
Mg Pd,0.2357123435233333
