,phases,rankings
186,Bi O Ru Si      ,10.016972913473271
102,Ca Ge Mo O      ,9.555509443456371
109,Ca Cr Mg O      ,6.720662515029778
476,Ca Fe O Rb      ,6.852824525712282
31,In Mg O V       ,6.857394391386521
389,Cr In O Rb      ,6.625682850756264
286,Fe Ge O Sr      ,8.958756167013124
126,Ge Li O Ru      ,9.326752764202089
61,Al Ge Mo O      ,10.576457332055934
458,Co O Rb Sr      ,9.200037108697355
479,Co Cs Ga O      ,7.420746520285551
440,Fe Ge O Rb      ,8.518412148245668
419,O Rb Ru Sr      ,14.42466854888532
532,Cs K Mo O       ,8.517474110998066
107,Co Ga Mg O      ,7.813774263983688
52,Al Ca Ni O      ,8.107024766050362
168,Bi Ge O Ru      ,7.761256304025666
314,Fe In O Sr      ,7.7440320164521825
340,Ba Co Na O      ,6.807064393836951
241,Bi Co Ga O      ,6.989907828036766
197,Bi Ge Mo O      ,9.431508900699582
92,Ca O Ru Si      ,10.175513815812584
330,Ba Cr O Sr      ,7.214742191816199
295,Bi Mo O Sr      ,8.745712777005528
85,Ga Na Ni O      ,6.980983835179488
294,K Mn O Si       ,9.705427846734198
495,Cr Cs Na O      ,5.996764353652396
87,Mg Na Ni O      ,7.067576078547057
51,Ga In O Ru      ,6.881950153285224
248,Al Ba Cr O      ,7.670619143639661
466,Cs Mo O Si      ,10.373024268584244
129,Bi Ga Ni O      ,6.667919510896118
420,Cs Ga Ni O      ,6.917888256795307
228,Co Mg O Sr      ,8.035913234502683
238,Li O Sr V       ,9.948018288930227
243,Bi Ca Cr O      ,5.860015222085637
219,Ba Ga Mn O      ,7.489049190537306
75,Al Mo O Si      ,11.26875113983932
111,Ge Li Mn O      ,9.689732883822819
233,Bi Li Ni O      ,7.626324873014278
274,Bi Cr Na O      ,5.912778884210271
534,Cs Ni O Rb      ,7.521612856499674
122,Ca Cr In O      ,6.839803819002136
18,Ga Mg O V       ,7.205274106932853
98,Co Ge O Si      ,10.483871642255792
194,Ba Ni O Si      ,9.739804478264368
346,Ca K Mo O       ,8.455005765754052
380,Bi K O Ru       ,6.349240323295268
467,Cr Cs In O      ,6.67696111981894
278,Ba Co Ga O      ,7.425085210572703
355,K Mn O Sr       ,8.153478798593946
84,Ca In O V       ,6.710749666060194
367,In Mn O Rb      ,7.166856063640024
383,Cr O Rb Si      ,10.10179511214614
21,Ga Ge O Ru      ,8.224993501545258
296,Ba Li Mn O      ,8.35377389227495
