#phases,average probability Tc>10K
phases,probability
N O Cu,0.6865225579666667
N Mg Zn,0.6864646251666671
N Fe Y,0.6862685964866666
Cl Fe As,0.6862647963999994
N Ge Nb,0.6862505174666667
N Mg Al,0.6862217397333332
C Mg Nb,0.6862048001999996
Mg Fe Rb,0.6861931202333332
Na V Fe,0.6859299387599995
N Fe Sn,0.6859240112399999
V Fe Mo,0.6858149253833339
N Cl Rb,0.6857711230333332
K Fe Ga,0.6852506045000002
C V Fe,0.6851391834666672
N Fe I,0.6850917007100004
Cl Fe Se,0.6850353082000001
Cl Fe Nb,0.6849405201666671
Li N Br,0.684788851433333
Li Ca Fe,0.6846434818333332
N O Fe,0.6845649454499999
C Fe Mo,0.6839685170333334
Mg Al Nb,0.6839195553333342
N Mg Tl,0.6838071881000002
Mn Fe As,0.6835982645333337
N Nb Ta,0.6833219931
O Fe Ga,0.6829264726000007
C Nb Mo,0.6827607228333333
C N As,0.6826513014666665
N Mg Ta,0.6825640929
V Fe Ba,0.6825245132666666
Li N Ca,0.6825190836333335
O Ca Cu,0.6824095242666662
N Mg Hf,0.6822427232666671
H Li N,0.6821976768666661
N Fe Zn,0.6821507290700006
C K Fe,0.6819165456333328
N Nb Hg,0.6818572042
N Mg Pb,0.6818516567666666
N Nb Te,0.6817556769666661
N Rb Mo,0.6816425634333334
Fe Se Sr,0.6814196406000005
Fe Zr Nb,0.6811410120666663
N Mg Te,0.6810403539499997
H C N,0.6806105142666669
Mn Fe Nb,0.6804528262666667
N Ga Rb,0.6803841563000005
Mg Nb Sn,0.6799529141666665
N Na Ga,0.6799174972666671
N Al Fe,0.679847580366667
N Cl Ba,0.6797248404
H Fe Nb,0.6796589473999997
Mn Fe Se,0.6794641224000005
C N Se,0.6794227071333332
N O Mg,0.6790663025333336
Fe As Zr,0.6787401721999996
Li C Fe,0.6786945503999997
N Nb La,0.6786116961999998
C N I,0.6785683753333339
N Na Zr,0.678531873966667
N Nb Cd,0.6784678454333327
Li N I,0.6784176228666665
N Mo Ba,0.6783793830333331
C Ca Fe,0.6783531122333333
N Ca Mo,0.6782363985333333
N Nb Bi,0.6782336840333333
Fe Ga Rb,0.6780361241333333
Li N Y,0.6780198913999999
N Mg Au,0.6780084201666672
C V Ga,0.6775551689999992
N Mo Sn,0.6774515294000003
