phases,average probability Tc>10K
Al Ba Mg N,0.7937292494666667
Cu Fe O Pr,0.7937253911333335
Ba Fe K Se,0.7936870569666662
Fe Gd Mo N,0.7936574639999994
As Ba Fe Rb,0.793490481966667
Fe Mg O Re,0.7934460395666667
Cu Fe Ho O,0.7933644624666664
Fe Mo N Ni,0.7932977590999999
F Fe H N,0.7931952631
As Fe O Pb,0.7930034816000003
Ca Fe H Mg,0.792940577833333
C Fe Gd N,0.7927844561333335
Ba Er Fe O,0.7924988417999995
C Fe N Ni,0.7924744583999994
Cr Fe Ga O,0.7923022225799998
As Fe O Pr,0.7922614359666664
Cu Fe Lu O,0.7922534962666662
Fe K Mo O,0.7922491860000008
C Li N Rb,0.7922367237000002
Ba Fe In O,0.7921834676666674
Al Fe La N,0.7921643827333336
Cl Li N Zr,0.7921158808333333
Al Ca Mg N,0.7919475780166668
Cs Fe K O,0.7918425324999998
Bi Fe Ga O,0.7915996963333332
Cu Fe O Yb,0.7915827251000002
Fe Li O Se,0.7915106139000002
Fe Na O Se,0.7913031343333338
Cs Fe Mo O,0.7912654071000005
Fe Mo O V,0.7911819887999996
Ba Fe Nd O,0.7911544457666667
Ba C N Na,0.7910565213999999
C N Nb Ta,0.7909838429666669
Al Er Fe N,0.7909832056000002
Br C K N,0.7909166042333333
Al Fe O Y,0.7908804440666669
C Hf N Nb,0.7908219022666665
Ba Eu Fe O,0.7906381215666667
Ca Fe Nd O,0.7906082359533333
Fe Mg O Si,0.7905692945000005
Cu Fe Gd O,0.7905599499333337
B Br Mg N,0.7903936783999995
Ba Ca Cu O,0.7903734327000004
C Fe Mn O,0.7902836647333329
Ca Cr Fe O,0.7902449740333342
Fe N Sm Y,0.7902196337999999
Li N Nb Sr,0.7901471757333342
Cu Fe Ge O,0.7901405150333337
Ba Cr Fe O,0.7900429680999999
As Fe Gd O,0.7900298582000005
As Ca F Fe,0.7900244431666662
As Fe Na Sr,0.7900114308666667
C Ga Mn N,0.7899967374
Al Fe Li O,0.7899581637133333
C Ga N Sr,0.7898267016999999
C Mo N Tl,0.7897999004666668
Fe Mo O Y,0.7897843670666668
Ba F Fe Mg,0.7897620563333327
F Fe Li Mg,0.7897305418666669
Eu Fe Ga O,0.7894270958666665
Al Mg N Sr,0.7894223160133335
Fe O Rb Se,0.7892125110333338
Ba Cl Fe O,0.7891959630666665
C Cs K N,0.7891652677000002
Er Fe Ga O,0.7889578165000005
Fe Mo N Tb,0.7888384143999995
C Cu K N,0.7887261385666663
Al B Mg N,0.7886899156333333
B Fe H N,0.7886767515666658
Cs Cu N O,0.7886579237666672
Fe Ga O Zn,0.7886307550333332
C Fe N Tb,0.7886057002666663
Fe K Na O,0.7885918934666666
C K Mn N,0.7885810376333333
Ca Cl Fe O,0.7885519640333334
C Fe N Tm,0.7885227307666663
C Ga H N,0.7885205136333334
Fe O V Y,0.7884164987666662
Al Fe Na O,0.7883089332333338
Fe Na O V,0.7882966349999997
Cu K N O,0.7882240372000003
Fe K Li O,0.7881831212000004
Fe Mn Mo O,0.788101365333334
As Ca Fe Pt,0.7880361808666663
B I Mg N,0.7878945867333335
Fe K Nb O,0.7878480108999992
Al C Li N,0.7877816374666666
C Cl N Sr,0.7877039952333329
Ba F Fe O,0.7876638542333332
C H Li N,0.7876356261999998
C Cs N Na,0.7875458284666662
C Ca Cu O,0.7875215327666666
Ba Li Mo N,0.7874522782000003
Fe Ga La O,0.7873840609866667
Bi Fe O Se,0.7873785385666662
Al Fe N Sm,0.7873657150000004
Fe Mo N Tm,0.7873276083333328
Fe Li O V,0.7872283410666673
C Fe O Sr,0.7872012499799997
Fe Mn O V,0.7870253185000006
Fe O Se Sr,0.7868629769333333
Cs Fe Nb O,0.7868132375000001
Bi Fe Mo O,0.7867602732000006
Fe Li Mo O,0.7866468906333338
Ba Fe O Sm,0.7866162052666662
Cu Fe O Tm,0.7866128084666664
Mg N Nb O,0.786608278066666
C I K N,0.7865080806666669
Cs Fe Na O,0.7864200199999998
Bi Fe K O,0.7860122780666665
Fe H O Se,0.7859868339666667
Ba Fe O Ta,0.7859030474000003
C K N Se,0.7858829054333331
Fe Mo Na O,0.7858097366
Br H Mg N,0.7857195974333331
Bi Fe O V,0.7857098447333336
Al Cu Mg O,0.7856189971000005
Fe Ga In O,0.7856006212000006
Al Dy Fe N,0.7855735617666665
As Ca Fe La,0.7855613058666664
C Fe O Sn,0.7853885672666662
Cu Mg O Y,0.7852555528000008
As Ba Fe Pt,0.7852390020666661
Cl Cu N O,0.7851264194666666
Cd Fe K O,0.7851242116333339
Ba Dy Fe O,0.7850689949333339
Fe Mn O Y,0.7849381296000005
Cu Ga Mg O,0.7849268910333335
Fe Mn Nb O,0.7848911542533336
Fe H O V,0.7848205001333333
C H N V,0.7847778938999997
Fe O Se Zn,0.7847746142000003
Cs H Mg N,0.7847700369333332
H Mg N Rb,0.7847443775666673
Cr Fe K O,0.7846439118666666
Fe H N S,0.7845655871666661
F Fe O Se,0.7845324552666669
Ca Ga Li N,0.7844947371
Fe K O Rb,0.7844048163000006
C H K N,0.7843855340000001
Fe Mg O P,0.784310815866667
As Cr Fe Ga,0.7842862044333332
Fe Li Na O,0.7841667420000001
Cs F Fe Mg,0.7841579683000002
C K N Zn,0.7841560954666661
H I Mg N,0.7840678534666667
Fe N Ti Y,0.7840459514666659
Al Fe O Sr,0.783950083933334
C Fe H O,0.7839130221666669
C Ca N Sr,0.7838561053333334
Cu Mg O V,0.7837896538
Ba Fe O Pb,0.7837533528666667
C H N Na,0.7836256281666668
Fe La Mo O,0.7835065492333337
Ba Fe O Pr,0.7834538917666666
Ba Fe Lu O,0.7833577360000002
Ba Fe Ho O,0.783311507
Ca Fe O Pr,0.7832852954999997
Ba Fe O Yb,0.7832815090666674
Fe Mo O Sr,0.7832524081999991
Co Fe Ga V,0.7832454488333335
Ag Fe O Se,0.7832309272666665
Cr Fe O V,0.7831783648333331
Fe La O Se,0.7831696248666666
Fe Mo O Rb,0.7829645843333332
C K N Tl,0.7828035355666669
Cu Fe O Sb,0.7824840030999999
C Ca H N,0.7824614169333336
C I N Y,0.7824113018666667
Co Fe Ga O,0.7823922880333332
Cl Fe Mo O,0.7822912230000001
Fe Mn Na O,0.7822681092333328
Er Fe O V,0.7822359214666668
Fe O Sr V,0.7822202540666671
Fe Li Nb O,0.7822070906000005
Ba Fe Gd O,0.7820264670333336
As Ca Cr Fe,0.7820078803000005
Bi Fe Nb O,0.7819640656666668
Fe Li Mn O,0.7819465225000005
Fe H Mo O,0.781875174066667
As Cu Mg O,0.7818632706666665
Ce Fe O Se,0.7818278865333332
Fe K O Sn,0.7817983207000001
B H Mg N,0.7817524584000008
Ag Fe Mo O,0.7817328459333329
Bi Fe O Y,0.7816771479333334
Cs Fe O Rb,0.7816705227999999
Ga H Li N,0.7816086506000002
Ba Mg N Ta,0.7815880437333338
Cl H N Nb,0.781579626466666
Eu Fe O V,0.7815739908666667
C Cl H N,0.7815526511666668
Al C Cl N,0.7815361575333335
Au C K N,0.7815295979333334
C Hg K N,0.781365270266667
Fe O Se Te,0.7811485446666665
Fe Nd O Se,0.781087055333333
C Cl Hg N,0.7810169026000005
Fe K La O,0.7809650936999994
Cu N Na O,0.7807532202000005
C Fe V Y,0.7807508285333331
Fe Mo O Tl,0.7807344903333335
As Ca Co Fe,0.7807212149333332
Ca Co Fe O,0.780702702166667
Ga Li N Sr,0.7805589673000004
Cu Fe O Tb,0.780549742733333
Fe N O S,0.7804531398000004
Fe La O V,0.7804515733666668
C In Li N,0.7804193591666666
C N Ta V,0.7803522471000002
Ba Fe Ir O,0.7802719112000004
C Fe O Te,0.7802262775999996
Ag Cu N O,0.7801342090999999
C N Nb Ti,0.7801117875666663
Fe O V Zn,0.7799661966333334
B Fe Ga O,0.7799408220333335
Cr Fe O Y,0.7798749463666663
C La Li N,0.7797938000333333
Ba Co Fe O,0.7797644487000005
Bi C Fe O,0.7796705304866669
Fe O Sr Y,0.7796644725000005
Ce Fe O V,0.7796213038333328
B C Li N,0.7795790249333328
Cu Fe Ga Se,0.7795088758333335
Ba Fe O Ru,0.7794594593999997
Ba Ge Mg N,0.7794372850666661
Ca Fe O Rh,0.7794316573999995
H Mg N O,0.7793939343333333
As Fe O Tb,0.7793810631999999
C Cs Mn N,0.7793629978000001
Al Fe O Zn,0.7792928982333329
C Cs Cu N,0.7792606988666667
Fe Ga O Sc,0.7790393040666667
Fe Nb O Sr,0.7789137164666669
Cr Fe Li O,0.7788989710000002
Ge Mg N Sr,0.7788741794000009
As Co Fe V,0.7788044642999996
Ag Fe O V,0.7787725619666671
C Mn N Rb,0.7787588257000002
Cu Fe O P,0.7787470827666667
As Cr Fe Li,0.7787226368
Al Fe H O,0.7787172104333335
C H N Sn,0.7786935749000005
Ca Cu Ga O,0.7786661253333332
Ba Fe O U,0.7785142529999995
Cr Fe Ga Se,0.7784419882333335
C Fe Ga Y,0.7782575918333335
C Fe Mo Y,0.7781827204333337
C Cr K N,0.7781680587000002
Cu Fe K Se,0.7780985238333336
Cl Ga H N,0.777977182233333
Cl Ga N Se,0.7779546185333331
As Fe O P,0.7779250696666663
Al Fe La O,0.7779197293000001
H Hg Mg N,0.7779151301333338
Fe I Li O,0.7778908844666668
As C H N,0.7778280525666662
Br Fe O Sr,0.7777768343666664
Fe N O Ti,0.7777443923200004
Dy Fe Mo O,0.7776550059666669
Ca Fe O Re,0.7775247021333332
As Ca Fe Pd,0.7775218185333331
Ca Fe Ge O,0.7775202743333336
Fe Nd O V,0.7775062614
Mg N O Zr,0.7774224857666666
C Ca N O,0.777336296533333
Fe Li O Sn,0.7772936350333337
Fe H Na O,0.7772895044666668
Fe Nb Se Ta,0.7772526593000004
C Cs I N,0.7772182423666671
Ag C K N,0.7771486882666667
C I N Rb,0.7771235129333337
Fe Mo Nd O,0.7771049229666664
B C K N,0.7770662422333331
As F Fe Sr,0.7770411603999999
Ba Fe Ge O,0.7770312615333336
C Cd Cl N,0.7769348982333335
C K N Pt,0.7769051058000002
Br Fe H O,0.7768741786333329
Ba Fe O Re,0.7768490685
Fe Nb O Tl,0.7768286797000004
As Ba Co Fe,0.7767891791333329
Ba Ca Mo N,0.7767791105999999
Ba Fe O Si,0.7766778575666662
Er Fe O Y,0.776654571033333
Ba Fe O Tm,0.7766362070666661
C Cd K N,0.7765803594333334
Br C H N,0.7764942989999994
Ba Cu O Y,0.7764468173000002
Bi Fe Mn O,0.776364317933333
C Cs N Se,0.7763511158
Fe Li O Zn,0.7763483251666673
Cl Fe Mn O,0.7761918343666669
Br H N Nb,0.7761739954999998
Ca Fe O Os,0.7760735390799999
Fe Mg O Ti,0.7759821139333334
Cl H Mo N,0.7759114609666666
Fe O Se Sm,0.7758774537999997
Cl I N V,0.7757926660000005
Cr Fe Mn O,0.7757925723
Ca Cu O Y,0.7757688270999996
Ba Li N Na,0.7757669803666666
Cl Fe Li O,0.7757219724499995
C H Mn N,0.7757063960999998
C Cl La N,0.7756430971333333
Ca Fe O Si,0.7755964782999999
Fe La Li O,0.7755718891999998
