phases,average probability Tc>10K
Ba Cu Fe O Pr Y,0.867265975566667
C F Fe H Li N O Si,0.8672075862999999
C Fe H Mn N O Rb,0.8672053318999997
C Fe H K N O Pr,0.8671707585666665
C Fe H K N Nd O,0.8670118242999995
Al Ca Fe H Mn Na O P,0.8669663582666666
Al Fe H Mg N O S,0.8669337836666667
C Fe H K N O Tb,0.8669322282666669
Al Ca Ce Fe Mg O Si Ti,0.8668947613000002
Ca Fe Mg Mn O P Zn,0.8668824416666666
C Fe H N Na O Sm,0.8668705077333331
C Fe H K La N O,0.8668652865999998
Al Ca Fe K Na O Si,0.8668447539999999
F Fe K Li Mg Na O Si,0.8668104883333329
Al As Cu Fe Mo O Ti V,0.8667418678333338
Al Ca Cr Fe Mg O Si,0.8667347935666665
C Cs Fe H N O Y,0.8666393304333327
C Fe H N O Rb Zn,0.8665831055666674
Al Ca Fe H Na O P U,0.8665650997999993
Al Ca Cl Fe H Mg O Si,0.8664841489333325
Al Ca Fe H Mn O Pb Si,0.8663971743333334
Cl Fe H K N Na O S,0.866203166
C Fe H Li Mn N O,0.8661870585666666
As Ca Fe H Mn O Ti,0.8660397145666667
Al Cr Fe Mg Mn O Ti V,0.865880219166667
Al Ca Fe H Mg O,0.8658737042666661
As C Fe H N O,0.8656851486333337
C Fe H N Na O P,0.865671934866667
Al Be Ca Fe H Mg O P,0.865626590966667
C Cs Fe H N O Zn,0.8656180358666667
Ca Fe H La Mg O Si,0.865609454866667
Al Fe Mg Mn O Si Ti Zn,0.8656069804999995
Ca Fe Mg Mn O Sb Si,0.8655390674999998
Al Ca Fe H La Mn O Si,0.8655343146333325
Bi C Fe H K N O,0.8655060124666666
Ca Cr Fe Mg Mn O Si,0.8654329449666672
C Ca Fe Mg Mn O,0.8654035866333334
Al Ca Fe Mg O Si,0.8653580781999999
Ba C Fe H N O,0.8653408619000001
Al Cr Fe Mg Mn O V,0.8652900548666658
C Cd Fe H K N O,0.8652158668999995
Al Fe H Li Mg O Si Zn,0.8651513004333333
Al Ca Fe H Mn Nd O Si,0.8651069235666663
Al Fe H Li Mg Na O Si,0.8650965561666666
C Fe H La Li N O,0.865044284899999
C Fe H Mo N Na O,0.8649355787666659
Al Ca Fe H O Pb Si Sr,0.8648755310000001
Al Cu F Fe O P Pb V,0.8648479578000005
Al Ba Fe H K Na O Si,0.8648429701999997
Cu Fe H Mg O Te,0.8647776021333332
C Cd Fe H N O Zn,0.8646979512999995
As Fe H Mo N O,0.8646475595000004
Al Ba Cr Fe K Mg O Ti,0.8646325130333335
Al Ca Fe Mg O Si Ti,0.864621945366667
C Cs Fe H N Nd O,0.8646207157333331
C Cs Fe H N O Pr,0.8646070511333331
As Cu Fe H O P Pb,0.8645910445
C Cr Fe H K N O,0.8645827334000006
As Fe H Mg O P U,0.8645318689666663
C Fe H N O Re Se,0.8644295893999996
C Cd Fe H Mn N O,0.8644148416333334
Bi C Fe H N O W,0.8643453337666664
Bi Cu Fe O Sr Y,0.8642966882999998
Al Cu F Fe H O P V,0.8642535442666666
Al Ca Cl Fe Mg O Si Ti,0.8642183899000007
C Fe H N O V,0.8641415779666666
C Er Fe H K N O,0.8641030213666671
As F Fe H N O,0.8640837079333331
Ca Fe Mg Na O Si,0.8639698421333338
Al Cr Fe Mg O V Zn,0.8639596234
Bi Ca Fe In O V Y,0.8639458636666668
C Eu Fe H N Na O,0.8639126726999994
As Fe Mg O Sr Ti,0.8637283242333332
Al Fe Mg O V Zn,0.8637027681
Al C Fe Li Mg Na O Si,0.8636064315666662
As Cu Fe H O Pb,0.8635965655333325
C Eu Fe H K N O,0.863587749433334
C Fe H K Lu N O,0.8635861699333333
C Cl Fe H N O S V,0.8635693796333338
C Co Fe H N Na Ni O,0.8634452368333331
Al Ca Cr Fe H O Si Sr,0.8633654808333338
Al As Fe H O P Pb V,0.8633399816666664
As Co Fe H Mo N O,0.8633186804666669
C Cu Fe N O,0.8632243228333333
Fe K Li Mg Na O Si Ti,0.8632021796999999
Ca Fe Mg Na O P,0.8631554558333334
C Fe H K N O,0.8631163030333331
Al Fe Mg Mn O Si Zn,0.8631081690999995
Al Fe H Mg Mn O Si Ti,0.8630694180666664
Ca Fe H Mn Na O Si Zr,0.8629631807000004
C Fe H I In N O,0.8629434792666663
Br C Fe H In N O,0.8629338920000006
Ca Fe H K Na O W,0.862911085333334
Al Fe H K Mg O Si Ti,0.8628546077
Ca Fe Mg Na O Si Ti,0.8628404559666666
Al Ba Ca Fe O Zn,0.8627698469666671
Ba Cu Eu Fe La O,0.8627065968000007
Al F Fe H K Mg O Si,0.8626971982333337
C Fe H Mo N O P,0.8626414794999996
Ca Fe Mg Mn O Si,0.8626341735000002
C Fe H N O Y,0.8626149516666664
Al Cr Fe Mg Mn O Si Ti,0.8625690946
Ca F Fe Mg Mn O P,0.862565718
Al Cr Fe Mg Mn O Zn,0.8625488337333335
Al C Fe H Mg Na O Si,0.8625316779333332
C Cs Fe H N O Re S,0.8625124303333332
Fe Ga La Mg O Sr,0.8625122236333338
C Fe H N Na O,0.862427769066667
Al As Cu Fe H O,0.8624189775000004
Ba Cr Fe K Mg O Ti,0.8624097300333343
Fe H Mg Mn O Te Zn,0.8623189813333331
Ca Fe Mg Mn O Si Ti,0.8621173497999998
C Fe H Hg N O,0.8620885894333338
C Fe H Li Lu N O,0.8620450042999998
Al Fe Mg Mn O Zn,0.8620147724333332
Al Be Fe Li Mg Na O Si,0.8620100661333338
C Fe H N Nb O,0.8619843537999998
C Dy Fe H K N O,0.8619338086666662
As Fe H Mo N Ni O,0.8619072279999999
Al Ca Cl Fe Mg O Si,0.8618770810666674
Be Fe H Mg Na O Sc Si,0.8618732428
C Ce Fe H K N O,0.8618218708333336
As Cu Fe H O Pb S Sb,0.8618162430333333
Al Ca Ce Fe H Mn O Si,0.8618129829999996
Al Fe H Mg O Sn Zn,0.8617653805000002
Al Fe H Mn O Pb V Zn,0.8617426367333332
C Fe H N O P W,0.8617332198666666
C Cl Fe H N O Re,0.8617242424000001
Al Ca Fe Mn Na O P,0.8617142279000003
Ca Cu Fe O Se,0.8616114316666666
Al Fe H K Mn Na O Si,0.8615676730333337
Fe H K Mg Na O Si Ti,0.8615612948333335
C Fe H Li N O,0.8614977577666667
C Fe H N O Sr,0.8614753310666666
Al Fe H K Mg O Si,0.861474456066667
C Fe H Ho K N O,0.8614183203666667
Ca Cu Fe O V,0.8613614811000008
C Fe H N O Rb,0.8613064030000007
Fe H K Mg Na O Si,0.8611516450000003
Al B Ca Fe H Mg O Si,0.8611398530000003
C Fe H Mn N O,0.8610801148666669
Al Ca F Fe H Mn O Si,0.8610687910333333
As Bi Cu Fe H O,0.8609832256333337
C Fe Gd H K N O,0.8609831113666668
Al Fe H Mg Mn O Si,0.860948530366667
Al Fe H K N O S,0.8609387490666662
C Cl Fe H N Nb O S,0.8609048886999998
Fe H K Mg Mn O Si,0.8608976316
C Co Fe H K N O,0.8608900955
C Cl Cs Fe H N O,0.860882402233333
Al Cr Fe Mg Mn O Si,0.8608398138666666
Ba Fe K Mg O Ti,0.8608008914333334
C Co Fe H N Na O,0.8607876128333337
Al Fe H Mg Na O Si,0.8607415150000005
C Fe Gd H N Na O,0.860738770666667
C Cl Fe H N O Sb,0.8607256298666666
Ca Fe H K Na O Si,0.8607172065333331
Ca Fe Mg Mn O P,0.8606563883666665
C Fe H Lu N Na O,0.8605914929000007
C Fe H N O Zn,0.860584187733333
C Cu Fe O Sr Tl,0.8605587765666669
Al Be Fe H Mg Na O Si,0.860555083866667
Al Fe H K Mg O S Zn,0.8605413480666666
Al Cu Fe H Mg O S,0.8605057634333335
Al Ca Fe H O Si V,0.8604911824999998
Al F Fe K Mg O Si,0.8604706215666662
Al Fe H Mg Na O P,0.8604355973666664
Al Ba Fe H Mg O S Si,0.8604312687666669
C Cl Fe H N O P S,0.8603959720000004
Ce Cu Fe O Sr Y,0.8603377170333331
C Cd Cr Fe H N O,0.8603240196666665
C Cl Fe H N O Ti,0.8602815790666661
C Fe H N O Te,0.8602300790999997
C Fe H K N Ni O,0.8602211851333332
F Fe H K N O P,0.8602175162000005
Br C Fe H N O,0.8601134495666666
C Fe H I N O,0.8600791524000004
Ba Cu Fe O Y,0.8599553020000001
Ca Fe Mg Na O Ti,0.8599210644666669
Bi C Cl Fe H N O,0.8597338421999999
C Cl Fe H In N O,0.8597103194333334
As Fe H Na O W Zn,0.8597013006666663
C Fe H N Na Ni O,0.8596916315333326
Al Ba Fe Mn O Pb Ti Zn,0.8596547311333338
Al As Ba Fe H O,0.8596350515666664
Ca Fe H K Na O Si Ti,0.8596273857999999
Ca Fe Mg O Si Y,0.8596270465333333
Al Fe K Mn Na O Sr,0.8596099131666675
Be Ca Fe H O Si Y Yb,0.859536814133333
Al Fe H Mn N O S,0.8595355457000001
C Fe H Mo N O,0.8594871776666672
Ba Fe Ga Mn O Sn,0.8594372444333336
C Fe H N Na O S,0.8593984100333328
Al Ca Fe Mn O Tb Ti Zr,0.8593908825000004
As Cu Fe H O P,0.8593743454999999
C Fe Ge H N O W,0.8593098934
C Fe H N Se Sn,0.8593044812666668
Cu Fe Mg O Zn,0.8592982139333333
C Fe H N O Pb,0.8592518295000002
Al Cu Fe H O Pb Si,0.8592260116999997
C Fe H N O Pt,0.8591512599333335
Al Fe Mg Mn O Ti Zn,0.8591109503333331
C Ce Cs Fe H N O,0.8590918545333327
C Fe H Hg N O S,0.8589867285333336
C Fe H N Nd O,0.8589694467000002
Al Fe K Mg O Si,0.858962488066666
C Fe H La N O,0.8589337058000001
As Bi Ca Co Fe H Ni O,0.8589034145
Al Ca Fe H Mg O S,0.8588554227000001
C Cl Cr Fe H N O,0.8588475761333334
Al Ca Cr Fe Mn O Si Ti,0.8588441360666667
C Fe H N O Sm,0.8588422446666674
As Ba Fe H O Ti V,0.8588289651000001
Ca Fe H Mg O Si,0.8588041470333337
C Cd Fe H N O,0.8587848877999996
Fe H K N Na O S,0.8587737341333331
C F Fe H N O P,0.8586775405333333
Al C Fe Mg Na O Si,0.8586656568999997
