,phases,ranking
2104,Bi Ga V,7.1837406
1568,B C Fe Ni Tm,9.850258
514,Al Pd Si U,9.385292
1949,Fe K S,9.568504
2391,Ca Cu Er O Sr Tl,10.481389
2284,Ir Pd,7.5709157
3789,Cr Fe U,8.530045
4163,As Ca Fe Pt Y,10.501236
386,Ba Ca Co Cu O Sr Y,10.218307
1969,As Ca Fe Ni,11.115851
1237,La Sn Tm,4.611643
1680,In Sb Sn,9.328332
617,Bi Cu Eu O Sr,8.99544
590,Nb Sn,7.897196
2403,Sr,6.5670567
2250,Rh Ti Y,7.5236354
2059,Mo Pb S Se,8.024845
1160,B Ir Lu,7.5616474
780,Bi Ca K O,10.398265
3272,N U,5.998908
4024,N Nb O Si,9.295127
3937,Ta V Zr,9.143927
3116,C U,4.954618
3473,Cu Mg Ni,10.538615
2447,Re Ru,8.153484
536,Ga Mo Pb S W,8.882953
1990,Bi C,7.1718483
313,Ba Cu Eu Fe O Pr,7.664969
2198,As Cr K,8.114809
2086,Au Ba Ge Pt,9.220954
3388,Bi Ni Sm,9.644933
4048,H Na O Pb S Ta,10.226085
413,Ca Cu Nd O Ru,9.141084
2004,Mo P,6.0674825
292,Al Be,7.937535
1707,O Rb W,10.466393
429,B Mo Ru,7.1462555
4030,B C Ni Y,10.293898
1605,Mo Pb S,7.05574
4002,B Mo Y,9.091404
1390,Fe Rb Se Tl,10.043911
714,B Mg Pb,7.868005
3545,Fe Gd Si,9.214637
1133,As Fe Pt Sr,10.12508
232,Ce Cu Nd O Sr Tl,10.107973
332,Ce Cu Gd Nd O Sr,8.800126
303,Co Mo,6.8351007
953,Ba K O Sb Ti,9.49897
3868,Al Cu Ni Zr,11.074963
228,C Cu N O Pb Sr Tl,9.697477
2782,As La Rh,8.529457
1515,Ba Cu Gd O Tl,8.422465
3397,Ga U,6.242563
2389,B Ir Sr,9.025443
572,Bi Ca Cu Ho La O,8.531897
4184,Pd Sb Sr,9.219949
339,Cu Fe Nd O Sr Y,9.584618
3508,Ag As,7.4104385
1422,Ce S,7.5433784
1734,B C Er Ni,10.524386
2626,Ce Cu O Pr Sr,8.014456
3420,Ce Ru Sb,5.5508413
1409,Ce Co In Yb,9.409666
3380,Ce Pd Sb,7.6077967
208,Mo N O W,8.788978
3604,Ca Cu Ni O Pb Sr Tl,11.65105
2487,Ho Ir Lu Si,7.340409
3468,Ga Se Ta,7.1329565
3162,Ce Ru Sc,3.0685859
1068,Ba Fe P,5.749975
1710,Ba Ca Cu Hg Mo O,7.9221587
2959,Pb Pd Sc,4.9718404
4040,Ho Pb Pd,5.548531
872,Si Zr,7.134507
2323,Ga Nb V,7.9770775
1259,Hg Pb,5.989009
1934,Eu La,5.277285
3341,Bi Cu O Sm Sr,9.229637
3323,Pt Si Th,6.4144254
4010,Cd La,7.128522
473,Ce Nb S,7.279428
2348,Bi F La O S Y,10.828184
