,phases,ranking
1459,As Ba Fe P,8.168337
1553,As Fe K Na,10.54808
2185,Al Nb Sb,6.8233633
760,Ge Pr Pt Sb,7.9929476
2417,Ba Ca Cu Nd O Tl,10.298311
1637,As F Fe La O Y,10.357767
3035,As Ta,7.18353
2520,Os Th,3.895032
538,Mo Pb S Yb,8.051606
1041,Co Ge Nd,9.389016
266,Cu La O Pr Sr,9.732672
2673,Ce Cu O Pr V,8.411762
3525,Bi Rh S,9.233342
1375,Al Ca Cu O Sr Y,10.933732
293,Mo Nd Se,6.979793
3771,Eu P Pd,6.3326817
1528,Co Ni Zr,9.647365
622,Bi Co Ni,9.187823
398,As Fe H O P Sm,10.357078
2684,Hf V,7.2836256
2747,Cd Cu,8.467726
1830,Fe V Zr,8.389217
54,Cu La O Sr Zn,10.959292
1776,Nd Ru Th,4.742538
2409,C Rb Tl,8.856237
379,Ce Cu Eu O Pb Sm Sr,7.9705696
1777,B Mo S Sn,8.471312
2147,Bi Ca Cu La O Sr,10.274373
2837,Ca Cu Gd O Sr Tl,10.593478
1316,C W Y,8.184098
407,Cu La Mg O Sr,10.355717
3199,Cd Ge,8.261487
1029,Bi Y,8.644831
3538,Ba Cu Lu O Sr Y,9.683099
980,Ca Cu O Pb Sr Y,9.695678
146,Ag S,7.2716417
4158,Bi Mo S Tl,8.3722925
331,Au Ga Pd,9.088836
396,Ca Cu Ga O Pb Sr Yb,9.743317
1000,Os P Y,7.2051673
1350,Nb Pt Ru,5.990719
710,Ce Cu Fe O Sr Y,8.684522
3943,B Lu,7.8392096
302,B Ir V,8.724058
3271,Tc Y,6.961129
2558,Rh Sc Ti,6.6297164
4131,Cu Li P,8.9538145
518,As Ba Ni,10.114904
1355,Ba Ca Cu Lu O,8.901719
4003,B Sm Y,8.05889
1923,Ir Se,5.2700715
3639,C Ta Zr,8.606992
97,Dy Nb O Sr,9.362245
365,P Rh Ru Zr,8.485638
879,Ba Cu La O Ti,10.162348
2035,As Rh,8.043375
3158,As Co Fe Sr Zn,10.415719
1941,Bi Cu La O Sr Y,9.182304
2632,Ba Cu Nd O Pr Sr,10.318083
236,Cu Er O Ru Sr,9.140271
2876,Cr Cu La O Sr,10.128544
1485,B Lu Ru,7.2865524
2587,Al Cu Nb Ni Zr,11.217246
928,Bi O S Th,10.516291
1550,Re Si V,7.5961013
53,Cu Eu O Sr,8.950688
4059,C F Sb,9.770276
2276,Cu O Sm Th,7.596901
731,N Th,5.9273343
1756,Bi Te Tl,7.554393
878,Ga Ge Nb,8.453208
405,Cu Er O Re Sr Y,8.766228
2728,Sb Te Tl,6.188154
252,B C Co Ni Tm,10.362454
3081,Ba Cu Eu Ga O,7.9217615
225,As Fe Na Sr,9.66781
574,Co Ni U,9.106058
892,S Sr W,8.738241
1721,Bi F La S Sr,10.571058
3780,Os Y,6.9596086
2645,H Li Nb O,10.562129
211,Ba Cu Gd Mn O Pr,8.048593
2589,B Th,7.5829124
756,Be Hf,5.5899773
656,Sb V,6.3805
2232,Ru S,7.3599796
106,Ge Ir,7.7415843
3317,Co Hf,5.707203
3596,B Fe,9.111956
1319,Cr Mo,6.0348644
3567,Ag Rb,7.615012
262,Ba Ce Cu Nd O Sr,9.773725
2032,Fe Sb,7.5971212
1588,Bi Fe,9.225268
3353,Br C La,6.693311
420,Co Cu Gd O Ru Sr,9.787196
1498,B C Gd Lu Ni,10.41078
1287,Be Cu,7.0517855
3211,Ba C Cu O Sr Tl,10.700313
1607,B La,7.8570957
119,Cl Cu O Y,9.976645
356,Ca Cu La Nd O,9.249624
459,As Fe Li,10.351396
49,Mo Pd Rh Ru,9.003356
1973,As Pd Se,8.798412
2218,P Se Zr,7.285865
4038,Ce Cu O Ru Sm Sr,8.957011
80,Bi Ca Cu O Sr,10.333964
3882,Ca Mg,7.456223
3991,P S Y,7.223147
1991,Nb Re Si,8.934324
110,Ba Cu O Yb Zn,9.466944
3120,C Ni Zn,10.093041
3228,Mo S Tm,7.6842065
2338,Ag N O,8.607481
218,Ir Lu Sc Si,6.556041
196,Ce Cu Nd O Ru Sr,9.310361
2309,Cu O Pr Sr Y,9.456518
2703,Cu Ir Pt Se,8.568385
265,Ce Cu Dy O Ru Sr,8.32225
1560,Pt Ru,5.24735
1995,Ge Ir Lu,8.31724
3089,As Ba Fe Rb Sn,10.421616
4110,Nb P S,6.4095654
3333,Fe Rh Ti,8.688986
3475,K O Sb Ti,10.240314
1921,Co Sb,6.847795
565,As Nb Pb Sn,9.312014
2795,Cr Os,3.7048004
2433,Er Fe P,5.7381196
1054,La Ru Th,4.6226144
1790,C Nb Ni,9.791697
3756,B C Rh U,8.01683
1511,Cr Ga,6.593481
384,Ba Cu Nd O Pr Yb,9.784705
562,B C Gd Ni Y,10.1844425
3138,Ba Ca Cu La O Zn,10.723196
1686,Cu Zn,9.002832
237,C S,7.6978745
2964,Ge Lu,8.338218
3747,Er Ru,4.595163
357,Bi Cu Na O Sr,9.342229
1073,Ba Pd Si,8.107177
589,Ba Ca Ce Cu Gd O Ti,8.851213
54,Ba O Pb Sr,8.974863
275,C Ga La,7.3164697
470,B C Ni Th Y,10.4406
187,Cd O Tc,9.666028
18,O Ru,9.643322
454,Ce Co In Sn,9.697808
3492,Cu Eu Nb O Sr,8.6623125
230,Cu Gd Nd O Ru Sr,9.420646
3945,Ca Cd Cu O Pb Sr Y,9.894173
1705,Ce Cu Nb Nd O Sr,8.12265
1955,K Mo O,10.177809
4085,B Co U,8.553038
497,Ce Ho Ru,4.3150787
3196,Al Ge Th,8.271372
2117,Ca Cu Eu O Pb Sr,8.982202
3253,Hf Zr,6.213515
1541,Er Pb,5.564646
2367,Cu Ga,7.7953253
3316,Ba Cr Cu O Sr Y,9.79881
2909,Ag Mo Se,6.4791
3878,Nb Rh Ru,7.1258445
1192,Ca Se,6.4616942
109,As Ce Fe O P,10.625045
221,Cd Ce Cu O Sr Y,8.978309
545,H Pd Si,9.698529
3103,O Sr Ti Zr,10.117745
2738,Al Ca Cu Ho O Sr,10.782824
2343,Ce Cr Cu O Sr Y,9.74832
3960,Al Ta Y,8.803699
4070,Ag O,9.612094
10,Nb Sn Tl,9.269105
2074,B Co Yb,9.086592
499,Ce Rh Si,7.905946
3152,B Dy Os,6.634682
924,Ba Bi K O Pb,9.877843
3885,As Fe Mg O Sr V,10.420725
1379,In S V,8.498804
415,Pd Sn Th,8.666168
3399,Bi La Rh,7.0649753
404,Co Ga Np Pu,7.317371
946,C Cu N O Sr,9.340369
3129,Ti Tl,8.308337
130,La Nd Rh Si,7.7004304
3213,Dy Rh Sn,8.115961
560,Cr Ga V,8.346687
632,Bi Cd Cu Nd O Sr,9.61207
4099,Ga Rh U,7.4731708
124,Ba Ca Cu O Sm,9.5044565
3932,Dy Ir Lu Si,7.302311
1116,Nb Si Sn V,9.397145
3134,Sb Y,8.0039425
1161,Mo Si,7.4967394
4042,B Mn,6.8140855
2422,In Nb Zr,7.8481793
306,La Pd Sn,8.868244
90,Au Ir Nb,7.0764337
2919,Ce Co In Nd,9.3828
753,Ba Bi Sb,7.330196
1808,Ba Bi Ca Cu Hg O,8.500876
4083,Ca Cl Cu Nd O Sr,10.902893
494,As Ir Pt Sr,10.624403
1429,B C Ce Rh,8.161518
84,As N V,8.810499
2924,Bi Rb,9.434523
95,B Co Rh Y,10.120078
551,La Mo S Sn,7.2796054
543,Ni V,9.741539
2213,Pt Sc,6.240157
4127,B C Mo Nb,8.482125
3090,Ce Cu Eu O Sr Ti,9.18149
3944,Al Pr Ti,9.257116
81,La Ru Si U,6.0928526
400,Ge Ir Lu Si,9.007371
3864,Ni P Sr,10.193956
1036,Ca Cu O Sr V,10.669136
4044,Fe P Y,7.041459
391,Ba Cu Fe O Y,8.04775
3923,C In Ti,7.370444
3773,I,6.005421
118,C Pt Rh U,5.9457603
251,Fe P Tm,5.303677
1887,Te,5.069467
2680,Co Rh Ti,8.595635
3207,Al As Ca Fe O,10.810305
2093,Si U,7.271197
3796,Na S Sn Ta,9.37768
1974,C Pd Si Y,8.989369
24,Sn Te Tl,8.845499
765,Mo S Sn,7.288834
2178,Ru Si U,6.7277217
3894,P Pd Pr,6.7928286
575,Ge La Ni P,9.45118
1410,B Gd Rh Y,9.221913
2373,Mo Ni P,9.173386
165,Cd Cu Ga O Sr Y,9.97017
2550,Au Er In,8.445829
3102,Ba O Ti,7.366762
581,Ba Ca Cu O Pb Sr Tb Tl,10.478614
2763,Nd Rh Sn,8.171828
2220,Co P,5.692161
3828,Ag Nb,4.6169205
474,B Fe Y,8.721223
3817,Ag Sr,6.9637403
3009,Cu Dy O Pb Sr,6.9661417
1970,Cu Eu La O,8.4784355
3133,Gd P Pd,5.6286054
390,Ba Ca Cu Hg O Tl,10.1747055
3259,As Fe Pd Sr,10.008203
1982,Li Ti,8.659867
404,Ga La,6.861518
1058,S Sn Ta,8.623758
39,Mo Rb Se,7.1486025
385,Cl Cu La O,9.584526
60,Ba La S,8.07086
1765,Bi Pb Se,6.631582
2562,Ba Cu O Tb,7.673936
3454,Pt Sb Sr,7.6805973
1191,Al Cr V,9.547794
639,Li O W,9.464592
3707,As Ni Sr,10.649321
112,H La O S Ta,10.561378
1469,Cu S Se,8.083463
1188,Mn Ni Zr,9.92448
3030,Ga Sb,7.6806903
187,B C Dy Ho Ni,10.167964
19,Cu O V,9.044049
3911,Ge Rh Th,7.808909
6,Mn,5.037679
3672,Ni Si,9.287626
2958,Tc Zr,6.264695
4074,Ga Pb,6.7273536
3416,B Nd,8.055261
1299,Ba Cu Eu O Zn,9.098464
4032,La Pr S,9.114575
350,Ba Cu Ni O Y Zn,10.838091
353,Cu Mo O S,8.93478
2082,Ce Y,7.9956717
3919,Ba Ho O Sb,8.778722
455,Pb Pd Y,7.392866
3621,Co H Ir Na O,10.1128435
2955,Br Cu Li O Sr,10.057749
1952,C Cu O Sr Tl V,10.709221
501,Bi Br Cu O Sr,8.815439
3117,Bi La Pt,8.6065645
3370,B C Re Y,9.72917
370,Pt Si,7.4056606
338,Au La,7.1509223
2564,As Ba Fe K Mn,9.353968
2746,Os P Sm,6.1070004
2711,Ba Cu Hg Mn O,8.4991455
620,Co Fe Th,9.193582
34,Cu O Pb Sm Sr,8.229138
3928,In Mg,8.3568
1370,C Y Zr,8.382687
540,Dy Mo Pb S,7.1614804
2302,Ge Ru,6.8829093
745,Ge Lu Rh,8.767025
4162,As Eu F Fe,8.503182
542,Mo Nd Pb S,8.335848
703,B Ru Th Tm,6.4994984
3356,Hf Os Si,6.207256
1979,N Nb V,7.978321
2803,B C Cu Ni Y,11.09003
900,Ge Mo,7.847361
2677,As Ba Ni P,10.524521
3846,Pa Zr,5.026639
2764,Co Rh Si,7.965648
2742,Al La Pd U,10.050529
1526,B C Fe Ho Ni,9.905059
3964,Cr N,7.130095
89,Au H Ir Nb,7.481185
206,Br C I La,7.8337603
615,Gd Re,8.707372
3663,As F Fe Gd O,10.098727
786,Ba Ca Cu Ge Hg O,8.316183
37,Bi Ca Cu Ga O Sr,9.838086
633,Ba Ca Cu Nd O Zn,9.956527
512,Cu Sb,6.0235395
107,B Lu Rh Ru,8.077994
2960,Ca Cu Ga O Sr Tm,10.435225
388,Ca Co Cu O Pb Sr Y,9.143925
3147,B Dy,7.565625
3484,As F La O Rh,10.965922
1933,Bi Ru,6.304914
811,K Ni Se,8.992971
456,Nb Si,6.7161775
721,As Ba Co Cu Fe,9.627523
2917,Ge Ir Th,7.27845
2412,Ir Th,5.7661104
3493,Ca Cu Hg O Pr Sr,9.184715
226,K O W,9.346909
1780,Cr Pt,5.9642644
880,Ho Pd Te,7.178705
596,Cu Gd Ni O Ru Sr,11.152759
1407,H Si,8.742152
1911,Mo O,9.771158
3963,Ce Cu O Sr Y,8.895856
168,Ba Cu Gd O Pr Sr,9.945287
1998,Bi Ca,8.51455
1147,C Ge Y,9.144591
2068,B C Li,7.797511
197,Ba Ca Cu Hg O Y,8.974832
3950,Ir La Sn,5.7323303
400,Ce Cu Eu Gd Nb O Ru Sr,7.7780747
3046,B Nb Th,7.1289406
1478,B C Co Dy Ni,10.105093
4169,Ba Ca Cr Cu Hg O,8.643619
964,Au Pd Te,8.389451
3290,Re Si Y,8.723586
2761,Lu Pt Si,7.4238462
1885,C V Y,7.984468
469,H Hf V,10.039705
3246,As Ni,9.714105
3313,Ag Pd S,8.20879
2705,C Ge Sc,6.3597183
447,Al V,9.349624
316,Ba Cu Eu O Pr Zn,9.196604
87,Cu Lu Si,7.5805607
3215,Mo S Sc,6.524336
2902,B Ce N Ni,9.320847
247,Ce Cu Eu O Pb Sr,7.057267
2076,Hf I Li N,8.813667
1865,Al B Mg Zn,10.282354
609,C Sn,7.386048
1077,C H Sr,10.2211685
2042,Pd Tl,8.981524
417,Er Ho Mo S,7.912493
2134,C Nb Y,7.976343
516,Co Fe Lu Si,10.129478
118,Ba Bi Cs K O,9.871762
2928,Ga Sm,7.5950065
3351,Be Ca,5.903537
231,Bi Cu O,9.261015
1063,La Pr,6.618844
1548,Nd Os Pr Sb,5.890165
2848,Ge Ru Zr,5.7640724
1426,Ba Ca Cu Hg Nd O,9.199717
2092,Cu Fe Nd O Sr,9.756753
135,Co Y,8.32333
1251,As Ca Co F Fe,9.408292
3135,Ag B,7.984994
3962,Rh Ru Ti,7.6913176
1816,La Rh,5.220888
3989,Nd Si,8.090897
110,H Na O S Ta,10.554245
3503,As Cu Fe Li,10.151297
108,Eu Mo Se,6.6552415
213,Ba Cu Gd Ni O Pr,10.30978
3649,Ca Cu Hg O Pb Sr Y,9.410253
1210,Al Au Sc,7.872813
354,Ce Cu F Nd O,10.421377
1435,B Nb Si,7.8717785
2011,Ba Os P,8.553583
673,Al Ca Ga Si,9.405084
4180,Ni Sm,9.09914
3867,As La Ru,8.414951
3547,Hf Ni Re,9.718474
3635,Ir Lu Sn,6.3897853
3889,Cl Cu O Pb Sr Ta,10.036782
1019,Ba Ca Cu Gd O Sr,10.540576
3483,Co Ir,7.3860574
1543,Fe U,7.6658015
3191,Ge Rh Sr,7.1713114
3222,As F Fe Sr,9.790653
2353,Co Cu Zr,7.820285
3224,Ho Rh Sn,8.308017
1424,Cu Ge O Sr Y,9.242602
1270,Ce Cu Eu Nb O Pr Sr,8.341297
3460,Ca Cu Dy O,8.035546
1071,Sb Ti,5.544586
1064,Cd Pb,6.281158
3183,Ce Cu O Sr W Y,8.96836
741,Ca Cl Cu Gd O,9.489992
2244,Ca Nb O,9.863865
2956,Al Pb Si,8.168116
3788,C Ce,6.8344836
618,Cu F Fe O Sr,10.959396
2148,B Ir U,7.0478387
2205,Cu K S,8.47533
3104,Al Ce,7.0182414
1828,Ba Cu Gd Mo O,6.2466726
1769,Ir Ni,8.881054
3745,As Ca Fe H La,10.1904955
1693,Os P Tb,7.149389
3974,Ge Ru Y,8.018348
3643,Pb Pd Th,6.053696
647,Ge Y,8.420695
2832,Gd Mo Pb S,7.56815
1715,Ba Ce Cu La O Sr Y,9.993917
84,As F Fe La Mn O,10.347161
78,Er Rh Si,7.7353415
425,Ba Cu K O Y,9.2345705
839,Fe Ni Th,8.953486
654,Ba Cu Si,8.516582
567,B Mg Ni,9.79923
288,As Ba Ga,9.177632
778,Ce Cu Dy O Pb Sr,7.14682
3198,Dy Fe Si Y,9.248785
407,Ag Ba Ca Cu La O Y,9.935745
1011,Fe Lu Si Y,9.351184
337,Mo Sm,5.900769
2443,B Pt Sr,9.629761
1020,Ni Ta,8.202416
1907,Al Mn,8.147033
2963,Bi Pb Sb,7.6741223
1439,Bi Ca Cu Ni O Sr,10.922623
3451,Al Ba Cu Nd O Ti,10.679518
3680,Cl N Zn Zr,9.689769
1529,Ba Cu Nd O Ti,8.797379
447,H La Th,9.761816
700,Er Ir Si,8.196902
2175,Ca Ge Ir,8.793891
3580,Al N Nb O,8.815415
3875,Bi Ge,9.260457
3402,C Lu,5.388933
1472,C Re Y,8.745377
916,Ir Rh Te,6.756943
3302,Co Ge U,9.266246
162,B C Co Lu Ni,10.454423
3957,Al Nd Pd,9.813484
199,In La Rh,8.359046
3966,Co Cu Rh Si,9.002713
2780,O Rh Zr,9.530352
64,Al Np,7.6329603
64,Ba Cu Nd O Zn,8.787856
1331,Bi Pt Sb,6.7830243
1022,Mo S Y,7.965423
3877,Ce Cu Eu Mo O Sr,8.57019
1713,In Nb Sn,9.469284
846,Ba Cu Dy O Sr,9.986975
3650,B C La,8.566114
176,Ca Cu Hg O Sr Tl,10.880378
1927,Ge In,8.216745
3273,Lu Se,5.914081
812,Co Mg Ni,8.886767
1904,Bi La O S Ti,10.895261
3362,Ru Th,3.541712
2641,Ir La Zn,8.181355
2491,B Pr Ru Th,7.8949184
2672,Ba Cu Fe Ho O Sr,10.273134
132,Cu Mo O Pr Sr,7.85444
2554,Ba Cu Lu O Yb,6.6770124
683,B Er Rh,7.401227
2168,Cu Mo Pb S,6.969726
1314,Bi Cu La O,8.718496
1317,Bi F La O S,10.9328
2513,As Te,7.21665
1635,Cu H La O Sr,11.897622
186,Ba Bi Sr,9.174843
3706,P Pd Y,7.6295424
273,B Mg,8.01832
4068,B Pt Th,8.40932
539,B Si W,8.612032
3699,In Na Pb,7.4850297
530,Mo S Sn Tc,7.5278625
1731,Bi La,6.121855
412,Ba Cu Ga O Sr Y,10.4529505
1199,Ba Cu Ga La O,9.344454
2071,Ge La Rh,6.8558373
3074,Fe Ge Sm,10.114881
2115,Br N Na Ti,9.086433
1385,Ge Te,6.0926614
1857,P Si V,8.041002
2829,C Cu O Sr,9.287255
1971,Al Hf Pd,10.581759
552,Be Zr,7.342654
1497,Rh Sc,5.2875304
848,Bi Cd Pb Sn,8.310174
2045,Ir Sn Th,6.945644
1284,Cu Ho La O Sr,9.740266
3078,Mn Pd Sb,7.8810887
1490,Ce Cu Gd O Ru Sr,8.37779
16,Ba Cl Hf N,9.920561
358,As Pd,8.685512
3283,B Ir Sc,7.2709656
363,Al Nb W,9.2256975
3270,B C Ni Tb,10.813783
1791,Ce Th,5.0653577
3467,B C Gd Ni,10.344287
2830,Hf Ti V,9.620013
171,Nb Ti V,9.328282
643,B Li Rh,8.813612
3839,As F Fe O Tb,10.157064
459,Au Mo S Sn,7.858585
2225,Pd Sc,6.6164217
3038,Bi Ca Cu O Pr,9.612994
698,Al Ge,8.645578
537,Ga Mo Pb S,8.34379
1369,Bi Nd Ni,9.429266
1501,Ir Sc,5.6485534
1042,Se Ta Te,6.5773163
1443,Ce Ge Rh,8.319131
752,Ge Nb Sn,8.332752
408,Fe La P Pr,5.2032976
3106,As F Fe Ho O,9.998391
493,Gd Ge La Pt,8.072331
3772,B Y Yb,8.373266
3844,Bi Pd S,10.484743
3413,B C Nd Ni,10.013531
1496,Ga Ge Sr,6.76898
1246,O Rh Ru Sr,10.099603
227,Cu F Gd Nd O,10.414617
549,B Ir Rh Yb,8.196047
2457,B F Mg,10.446
1552,Ba Ca Cu Er O,8.742597
4054,Ba Ca Cu O Th,9.24632
1549,C Nd,6.3271565
1464,B Ba Cu O Tb,8.706608
225,Mo P Ru,6.556912
174,Ce Sb Ti,4.835818
2501,Nb Ti W,7.786473
1323,Ba Ga Ge,6.136563
441,C Er Th,5.7349606
1359,Ge,7.980057
269,Ge Pd Y,8.982758
1301,B C Ni Tb Y,10.737548
1931,Ir Si Ta,6.815251
1215,Te Ti,5.72556
337,Ce Co Cu Nd O,9.158738
1861,Ce Cu Ho O Sr,8.164719
397,Al B Yb,9.6159725
3097,As F Fe O P Pr,10.666833
468,Ba Bi K O Sb,10.302424
1940,Cl K N Zr,9.40813
42,Ce Cu Gd Nd O,9.071178
2798,Ce Co Hg In,9.64524
20,Sn Ti V,9.256647
708,Pd Sb V,8.932231
4195,Rh Si,7.5611773
2137,Cu Mg Zn,8.875822
1628,Al Y,6.3879423
899,As Ce Co Fe H,8.761432
3375,Ga La Sb,6.671968
482,Ce Cu Gd O Ru Sr Y,8.977825
3550,Co Fe Zr,8.335051
1053,As La Pd,10.064474
2561,Cu Ir Te,8.744033
3327,Co Fe Ti,9.77333
2863,As,7.9647965
441,Cu Nd O Pb Sr,8.14181
3338,Gd Rh Sn,8.373945
3671,B Ho Os,6.6327505
1794,Fe Ni Se Te,8.24635
313,Cu O Re Sr Y,9.051617
3565,Co Ta,7.96412
2247,As Fe H O Pr,10.14549
4025,C Ni Y,8.354778
223,B Nb,7.182356
3753,Ta Ti Zr,8.200411
4062,Au Mg,6.397562
3295,Cr Rh Ti,8.683503
2214,Os Ta,4.681904
189,Ca Co Cu Ga O Sr Tm,9.927839
2524,C K Tl,5.9035897
198,Ba Cu Dy Ga O,7.824297
245,Cu O Tm,8.320882
1860,Ag Ba Cu O Y,8.888837
4150,Cu Nb,6.487669
555,Ce Cu Nd O,9.105139
836,Al Ce Rh,8.321233
871,C Re,6.9595604
1235,Al Co,8.250131
482,B Ho Rh,6.8597984
2875,B Hf,6.7471275
2653,As Dy Fe La O Sr,9.9343405
4090,Sb,5.528045
1831,Fe Ni U,8.955222
2634,Ga Mo V,7.600983
3726,Ce Cu Eu Nd O Pb Sr,8.645029
4000,Ba Bi,7.0703044
3898,S Sn,7.212395
2821,Ca Ge Rh,9.372917
2230,Dy Fe Si,9.029419
1690,La Ni O,8.764662
535,As Fe K Sr,9.785274
2070,As Fe Nd O,11.221345
3176,Cr Sc,3.514869
2884,Cu O Pb Sr Yb,8.223349
2791,Ga,6.5915318
769,Fe P Yb,5.7409716
1004,B Fe Mg,8.496144
492,Sb Ti V,8.313293
2622,Hg Pb Sm,6.714102
2292,I Mo Te,6.2451844
174,Bi Br Ca Cu Hg O Y,8.616261
4036,Fe Gd Ge,9.781376
1843,As Fe La Sr,10.06173
685,Li Pb,6.3888783
1732,Hf Ru Si,5.6133804
1596,Au Ba,6.935217
588,Al La Pd,10.765
1239,As Fe La O Zn,11.3357
1942,As Ni O Sr V,12.131509
3079,As Eu Fe La,8.895696
3349,Bi La O S Zr,10.36584
3099,Cd Cu Se,7.9564867
2643,B Tb,7.9485674
2700,As Ba Fe Yb,9.470091
266,Au Ba Cu O Y,7.8965917
2603,Co Ga H Na O,11.124049
1025,Ca Cu O Pr Sr Tl,10.628971
2421,Cl K N Ti,9.744835
1954,Co Cr U,8.460824
1164,Ag F N O,10.438304
2448,Gd Ni,9.105839
2342,Mo Pd Sb,7.332468
412,Ba Cu O Pr Y Zn,9.548936
3922,Al Na Si,7.9142995
14,Fe Sn U,8.181718
1065,Fe Si Sm,9.666777
3631,Cu La Na O Sr,10.003695
4107,C Gd,6.053196
1446,C La Tl,7.2252274
3768,Nb S Sr,7.7730117
983,Si V,6.7460546
52,Au Ga,7.859824
1181,Ag Sn,7.883252
755,In Sn Te,8.985314
1579,Nb P Ru,5.741821
3569,Ta Te,5.1710944
2777,C Nb Ta,7.5203547
3886,Ba Co Cu La O Ti,9.878577
2334,Ba Ge Si,7.2109632
2940,Bi Ca Cu Fe O Sr,9.515218
961,Ga Nb Sn,8.78759
1544,Eu Mo Pb S,7.6163106
2925,Ba Co Cu Eu O Ti,9.494203
2870,Li S Ta,9.064861
550,N Nb Ti,7.3841643
554,Mo S Sn U,7.930031
1008,Au Nb,6.53572
2706,Hg S,7.98848
1425,Ir Ta,5.2625914
777,Ba Cu Er O Pr,7.606091
321,C Hf Nb,5.139298
2583,Cd Zn,7.863152
2434,Ca Cu O Pb Sr,9.5548115
3055,Er Pd Sn,8.542309
250,Nb Pt Si Ta,7.4827285
4021,In Lu,7.9648085
572,B C Dy,7.9997625
1351,Ir U,5.9080925
3243,Be H Li,9.016686
1574,P Ti,6.8030376
1130,Fe H Li O Se,9.907286
148,Ce Cu Er Hg O Sr W,8.080929
1806,Au B C La Pt,9.194111
3265,Ge Ni Sr,9.678097
377,Ce Cu Eu La O Pb Sr,8.281297
383,Cu N,7.06013
3762,B Ni,9.856147
316,Fe Ho P,5.219425
164,Ce Cu Ga,7.3243294
352,B Mg Ru,8.423182
2861,Fe Ge Tm,9.658064
2341,Ir La P,6.5547366
965,Ba Co Cu Eu O,8.106941
380,Ce Cu Eu Gd O Pb Sr,6.9214783
136,La Ru Sb,4.3026237
2744,Ag Be,5.3475585
4141,Ge V Zr,8.147942
2708,In Sn Y,9.461175
32,Bi Ni Rh,9.348654
2880,Ag Rh Ti,7.2206435
2655,Ce Cu Mo O Pr Sr,7.860309
3282,As Fe Rh Sr,8.861604
2361,Ce Pt Si Th,7.029359
1061,Cu O Sr V Y,10.420275
988,Nb Pb S,6.748276
73,Cu Eu O Pb Sr,7.4026012
260,Ag B F O,10.622796
4008,Au In Sc,6.217251
799,As Sn Te,8.758844
2640,Re Rh,8.92479
1027,Ga Mn V,8.9911175
2730,Ce Cu Ga Nd O Sr,9.362266
743,W Zr,5.160605
234,La Y,7.004266
1467,Br Cl Cu O Pb Sr,9.620701
2676,Ca Cu F O Pb Sr Y,10.533461
2295,O Sn,9.93845
2551,Bi Pd,9.420036
903,Hg K,5.035924
1373,P Pd,6.7181606
2920,Co Sc Zr,5.665725
4109,Ce Cu Nd O Sr Y,9.19223
1085,Nd S Ta,7.767008
2452,P Re,6.486074
3381,Nb Rb S,9.308626
452,Mo Pb S Y,8.267352
2021,As Bi Nb Sn,9.28862
2067,Ca Cu La O Sr Tl,11.01579
2022,B C Re Tb,8.607463
1669,Os Sn Tb,6.6855693
1486,Ce Cu Nd O Zn,8.845834
971,Cd In La,7.6266046
89,La Nd Pt Si,8.503282
3561,Re,8.130571
1672,Ge Si V,7.973274
1437,Ca Cu Hg Mo O Sr,8.654584
1893,Ba Cu Ni O Sm,10.619529
3354,Ag F,9.750471
347,Ta W,5.1950665
1712,Ir Nb Pt,7.143185
597,Cu Eu O Ru Sr Zn,10.616613
1706,Pt W,7.4294586
2397,C Na,6.0009494
3257,Rb,8.136095
2694,Cu O Y,9.124665
2052,Al Cu Zr,10.106159
1290,As Fe O Sm,11.5418
2246,Ba Cu Nd O Y,8.522172
641,B C Lu Ni Y,10.294519
2231,Ni Te Zr,10.226881
9,Sn Sr,9.109314
2939,Ce Cu Ge,7.4897103
2172,La Pb Sn,5.9055753
1609,Ba Cu Lu O,6.1152205
1114,Au,7.04302
3204,B Cr Re,10.102656
1603,Ce Co In Ru,9.629918
849,Bi F La O S Sm,11.056044
969,Ba Co Cu Er O,8.135621
2484,Bi K La O,10.321516
1935,C Cl Y,8.563046
2260,Ba Ca Cu Gd O,8.234897
642,Bi O S,10.460095
3169,Mo Re S,9.089442
215,Bi Cu Nd O Pb Sr,9.041415
1639,B Hf Mo,6.1147566
145,As Ba Fe Pd,10.043975
1562,Cu Mg,6.4251966
3522,Dy Ga,6.384881
945,C Cd Ni,10.110182
3716,As Ba Fe Pr,9.199372
594,Ba Cu F O Y,10.593951
2637,B Li Mg,7.8982134
2580,Cu O Sr Tb Tl,10.422145
1540,B La N Ru,7.9503503
50,Ga Ge Mo,8.401226
3076,C Os U,5.3551717
979,Co La Ru Si,7.0238824
3031,As Ca Fe O Sc Ti,11.455095
3862,B C Lu,8.473342
1577,Rh Sn Tm,8.299262
3368,As Fe La,9.622502
3659,Mo Ru Te,4.6228347
3629,Ge La Pd Sn,8.958754
1882,Rh Sn,8.406941
1039,Pt Si Y,7.385646
3693,B Pr Rh,8.832737
2971,Cu,7.541855
115,I In Mo Se,7.300351
373,Bi Cu Gd O Sr,8.024262
3148,Ba Ca Cu Fe La O,9.33969
2813,C Li N Na,8.552298
573,Ba Cu Eu O Pr Sr,10.137916
1231,Mo S Yb,8.196516
1947,Ir Sr,7.4888363
4120,Nd S,8.091949
1547,Ag Cd,6.539663
3161,Pt Te,5.9757433
2408,Bi La Sb,6.5060315
800,As Ge W,10.134039
3764,C Hf In,7.4303765
2952,Bi La Pd,9.468203
2013,Bi Tl,7.880261
141,Gd Pt,6.465384
