phases,average probability Tc>10K
Fe O Sr,0.6678365718333329
Al Li N,0.6677189391666665
Ga Nb V,0.6673008370000002
Ca Ga N,0.6672715279666669
Fe N Ni,0.6672384327333335
Fe Se Zr,0.6671674806000001
Fe V Y,0.6671075033666667
C N Pb,0.6668823211000002
C Cd N,0.6662378063666669
Ga Mn N,0.6661617150666669
N Sr V,0.6661590346
Cl Fe O,0.6661290864133339
Co N Nb,0.6660857087666664
Cu Fe Se,0.6660346317000001
C In N,0.6656052008000003
Ce Fe Mg,0.6655303612333334
Fe O Zr,0.6653255207333334
Fe Te V,0.6652103915333332
N Nb Sc,0.6651645463666668
Fe I O,0.6649466389666665
Al Fe Mo,0.6648350582333334
H Li N,0.6647899943666667
C La N,0.6647617224000003
Fe Ga Mn,0.6645362617999999
Al Ga N,0.6645108150000001
Ag C N,0.6642469519666669
Cr Fe O,0.6642355706833325
Cd Fe O,0.6640480531999996
I Li N,0.6637398335
Fe O Zn,0.6634927481666669
C N Pt,0.6631647243333331
Fe Ga Zr,0.6631306198000003
Mg N P,0.6629027321
Fe Se Zn,0.6628307199999999
Ga N Sr,0.6625377026666666
Fe O Sn,0.6622018176000001
As Fe Te,0.6621910276666667
F Fe O,0.6620892696000006
Fe Mo Zr,0.6617454455999998
B Fe V,0.6617379315333332
Li Mn N,0.6616841811000002
Cl N Y,0.6616002439333335
C Fe Mn,0.6613301825999998
C Mo Nb,0.6610014584333334
Cl Fe K,0.6609745092333331
Bi Fe O,0.6608213881466664
Mg N Si,0.6606814584
Fe Ge Mg,0.6605861745
Co Fe Nb,0.6603176278999993
Fe Si V,0.6601194298999999
Fe O Tl,0.6589625514799997
Fe Ga Y,0.6585988864666668
Fe Se Tl,0.6585641074
Fe La O,0.6584868455199997
Cr Fe V,0.658249731833334
Ba N Zr,0.6581789104
As Cr Fe,0.6579501760333332
Cr Fe Se,0.6578900733666674
Eu Fe O,0.6577991902000001
Fe Mo S,0.6576625847999996
N Sn Zr,0.6574428526
N V Zn,0.6573311334000003
C Eu N,0.6572900239333329
C Ga V,0.6572379812333332
C Fe Zr,0.6570911746999998
C Fe Sn,0.6570262538333334
Fe Se Te,0.6567527120333332
Cl N Sr,0.656422424333333
C Cu Fe,0.6564069372666667
Er Fe O,0.6562500313000003
Br N Zr,0.6562058966666663
Hf N V,0.6560347479666668
Fe Nb Sb,0.6559992023333335
Cr N V,0.655861006866667
C Nb V,0.6557849750666669
Be C N,0.6557512839999995
Fe Ge Nb,0.6555235302166668
C Co N,0.6552566086333338
Au N V,0.6551518445000002
Fe Mo Y,0.6548461254666668
Fe N Tb,0.6547847350333335
Fe In Se,0.6544764162333334
Ag Fe O,0.6544084761999998
Li N Sr,0.6541367154000002
Cl Fe Li,0.6540903105000004
Mo N Ta,0.6539894070333333
C Mo V,0.6537337940999998
C N O,0.6536390889999998
C F N,0.6534995020000001
Al Ga Nb,0.6533594334000001
C Fe Zn,0.6533451771666665
Br Fe K,0.6532524342333332
Fe N Tm,0.6532061155000003
Fe Nb S,0.6531143035666669
Cl H N,0.6528298243
N Ta V,0.652781166433334
Fe In O,0.6526141376666662
Cr Ga N,0.652437828
Ba N Na,0.6524180694000004
B Fe O,0.6523986017
Ga Nb Sn,0.652176566733333
Fe Nd O,0.6521395654166665
Fe Nb Si,0.6520362717333332
Fe O Te,0.6519581612000003
