phases,
Bi In Mo O      ,
Ba Mg Mn O      ,
Al Ba O V       ,
Co In Na O      ,
Ca Li Mo O      ,
Co In Li O      ,
Co Mg O Sr      ,
Fe In O Si      ,
Co O Si Sr      ,
Al Fe In O      ,
Al Co O Sr      ,
Bi Li Ni O      ,
Ba O Ru Si      ,
Bi Co Ge O      ,
Ba Cr Ge O      ,
Mn Na O Sr      ,
Li O Sr V       ,
Ba Ca Ni O      ,
Ba Ge Mo O      ,
Bi Co Ga O      ,
Ba Cr Ga O      ,
Bi Ca Cr O      ,
Bi Co Mg O      ,
Ba Cr Mg O      ,
Bi Co O Si      ,
Al Bi Co O      ,
Al Ba Cr O      ,
Cr Li Na O      ,
Ba Ga Mo O      ,
Bi Ca Mo O      ,
Ba Mg Mo O      ,
Bi Mn Na O      ,
Ba Mo O Si      ,
Bi Li O V       ,
Bi Co In O      ,
Ba Cr In O      ,
Al Ba Mo O      ,
Bi Li Mn O      ,
Ca Co Li O      ,
Ca Fe Mg O      ,
Ge K Ni O       ,
Cr Na O Sr      ,
Cr Li O Sr      ,
Bi Na O Ru      ,
Ca Fe In O      ,
Bi Li O Ru      ,
Ga K Ni O       ,
Ba Na Ni O      ,
K Mg Ni O       ,
K Ni O Si       ,
Ba Li Ni O      ,
Al K Ni O       ,
Bi Cr Na O      ,
In K Ni O       ,
Ba Ni O Sr      ,
Bi Cr Li O      ,
Ba Co Ga O      ,
Ba Ca Cr O      ,
Ba Co Mg O      ,
Fe Ga Na O      ,
Al Ba Co O      ,
Ga K O V        ,
Ba Na O V       ,
Fe Mg Na O      ,
Fe Ge O Sr      ,
Fe Ga Li O      ,
K O Si V        ,
Ga K Mn O       ,
Ba Li O V       ,
Ge K O Ru       ,
K Mg Mn O       ,
Al K O V        ,
K Mn O Si       ,
Bi Mo O Sr      ,
Ba Li Mn O      ,
Al K Mn O       ,
Fe In Na O      ,
Co Na O Sr      ,
Ba Bi Ni O      ,
In K O V        ,
Fe Ga O Sr      ,
Fe In Li O      ,
Co Li O Sr      ,
Fe Mg O Sr      ,
In K Mn O       ,
Ga K O Ru       ,
K Mg O Ru       ,
K O Ru Si       ,
Cr Ge K O       ,
Ca K Ni O       ,
Al K O Ru       ,
Bi Fe Ge O      ,
Fe In O Sr      ,
In K O Ru       ,
Ge K Mo O       ,
Cr Ga K O       ,
Bi Co Na O      ,
Ba Cr Na O      ,
Cr K Mg O       ,
Cr K O Si       ,
Bi Co Li O      ,
Ba Cr Li O      ,
Bi Fe O Si      ,
Al Cr K O       ,
Ga K Mo O       ,
K Mo O Si       ,
Cr In K O       ,
Bi Fe In O      ,
Ba Cr O Sr      ,
Ca Fe Li O      ,
Ca K Mn O       ,
Ca K O Ru       ,
K Li Ni O       ,
Co Ge K O       ,
Ba Bi Cr O      ,
Ge Ni O Rb      ,
K Ni O Sr       ,
Co Ga K O       ,
Ba Co Na O      ,
Ca Cr K O       ,
Co K Mg O       ,
Ga Ni O Rb      ,
Ba Co Li O      ,
Mg Ni O Rb      ,
Ca K Mo O       ,
Al Ni O Rb      ,
Co In K O       ,
In Ni O Rb      ,
Ge O Rb V       ,
Bi K Ni O       ,
Fe Na O Sr      ,
Ge Mn O Rb      ,
Fe Li O Sr      ,
K Mn O Sr       ,
Ga O Rb V       ,
Mg O Rb V       ,
Ga Mn O Rb      ,
Ge O Rb Ru      ,
Mg Mn O Rb      ,
Al O Rb V       ,
Ba Bi Co O      ,
K O Ru Sr       ,
Al Mn O Rb      ,
In O Rb V       ,
Bi Fe Na O      ,
In Mn O Rb      ,
Ga O Rb Ru      ,
Bi Fe Li O      ,
Mg O Rb Ru      ,
Bi K Mn O       ,
Ca Co K O       ,
O Rb Ru Si      ,
Cr Ge O Rb      ,
Ca Ni O Rb      ,
Al O Rb Ru      ,
Cr K O Sr       ,
In O Rb Ru      ,
Ge Mo O Rb      ,
Bi K O Ru       ,
Cr Ga O Rb      ,
Cr Mg O Rb      ,
Cr O Rb Si      ,
Ba K Ni O       ,
Al Cr O Rb      ,
Ga Mo O Rb      ,
Mg Mo O Rb      ,
Mo O Rb Si      ,
Cr In O Rb      ,
Bi Cr K O       ,
Ca Mn O Rb      ,
Fe Ga K O       ,
Ba Fe Na O      ,
Co K Li O       ,
Fe K Mg O       ,
Ca O Rb Ru      ,
Ba Fe Li O      ,
Li Ni O Rb      ,
Al Fe K O       ,
Co Ge O Rb      ,
Fe In K O       ,
Co K O Sr       ,
Ni O Rb Sr      ,
Ba K O Ru       ,
Co Ga O Rb      ,
Ca Cr O Rb      ,
Co Mg O Rb      ,
Co O Rb Si      ,
Al Co O Rb      ,
Na O Rb V       ,
Ca Mo O Rb      ,
Co In O Rb      ,
Bi Co K O       ,
Bi Ni O Rb      ,
Mn O Rb Sr      ,
Li O Rb Ru      ,
Ca Fe K O       ,
Cs Ge Ni O      ,
O Rb Ru Sr      ,
Cs Ga Ni O      ,
Bi O Rb V       ,
Cs Mg Ni O      ,
Bi Mn O Rb      ,
Ca Co O Rb      ,
Al Cs Ni O      ,
Cr O Rb Sr      ,
Cs In Ni O      ,
Bi O Rb Ru      ,
Cs Ge Mn O      ,
Mo O Rb Sr      ,
Ba Co K O       ,
Ba Ni O Rb      ,
Cs Ga O V       ,
Cs Mg O V       ,
Cs O Si V       ,
Cs Ga Mn O      ,
Cs Ge O Ru      ,
Cs Mg Mn O      ,
Al Cs O V       ,
Fe Ge O Rb      ,
Al Cs Mn O      ,
Cs In O V       ,
Fe K O Sr       ,
Cs In Mn O      ,
Cs Ga O Ru      ,
Cs Mg O Ru      ,
Cs O Ru Si      ,
Fe Ga O Rb      ,
Cr Cs Ge O      ,
Co Li O Rb      ,
Ca Cs Ni O      ,
Fe Mg O Rb      ,
Al Cs O Ru      ,
Al Fe O Rb      ,
Cs In O Ru      ,
Cs Ge Mo O      ,
Fe In O Rb      ,
Co O Rb Sr      ,
Cr Cs Ga O      ,
Cr Cs Mg O      ,
Cr Cs O Si      ,
Ba O Rb Ru      ,
Al Cr Cs O      ,
Cs Ga Mo O      ,
Cs Mg Mo O      ,
Cs Mo O Si      ,
Cr Cs In O      ,
Ca Cs Mn O      ,
Cs In Mo O      ,
Bi Co O Rb      ,
Ba Cr O Rb      ,
Cs Na Ni O      ,
Ba Mo O Rb      ,
Ca Cs O Ru      ,
Cs Li Ni O      ,
Ca Fe O Rb      ,
Co Cs Ge O      ,
Cs Ni O Sr      ,
Co Cs Ga O      ,
Ca Cr Cs O      ,
Co Cs Mg O      ,
Al Co Cs O      ,
Ca Cs Mo O      ,
Cs Mn Na O      ,
Co Cs In O      ,
Bi Cs Ni O      ,
Ba Co O Rb      ,
Cs Na O Ru      ,
Cs Mn O Sr      ,
Fe Na O Rb      ,
K O Rb V        ,
Fe Li O Rb      ,
K Mn O Rb       ,
Cs O Ru Sr      ,
Cr Cs Na O      ,
Fe O Rb Sr      ,
Bi Cs O V       ,
K O Rb Ru       ,
Bi Cs Mn O      ,
Ca Co Cs O      ,
Cs Mo Na O      ,
Cr Cs O Sr      ,
Bi Cs O Ru      ,
Cr K O Rb       ,
Cs Mo O Sr      ,
Bi Fe O Rb      ,
Ba Cs Ni O      ,
Bi Cr Cs O      ,
Cs Fe Ge O      ,
Co Cs Na O      ,
Cs Fe Ga O      ,
Co Cs Li O      ,
Cs Fe Mg O      ,
Ba Cs Mn O      ,
Al Cs Fe O      ,
Cs Fe In O      ,
Co Cs O Sr      ,
Ba Cs O Ru      ,
Ba Fe O Rb      ,
Bi Co Cs O      ,
Ba Cr Cs O      ,
Ba Cs Mo O      ,
Ca Cs Fe O      ,
Cs K Ni O       ,
Ba Co Cs O      ,
Cs K O V        ,
Cs Fe Li O      ,
Cs K Mn O       ,
Cs Fe O Sr      ,
Cr Cs K O       ,
Bi Cs Fe O      ,
Cs K Mo O       ,
Ba Cs Fe O      ,
Cs Ni O Rb      ,
Cs O Rb V       ,
Cs Mn O Rb      ,
Cs O Rb Ru      ,
Cr Cs O Rb      ,
Co Cs O Rb      ,
