phases,max energy gap,n compositions
In O Rb W,4.9,2
Cs Mo O Yb,4.8,2
Cs Mo O Tm,5.1,2
Cs Ho Mo O,4.9,2
Cs Mo O Pr,4.7,4
Cs Mo O Sm,5.1,3
Cs Er Mo O,5.1,2
Cs Mo O Y,5.1,2
Nd O Si Sr,4.6,1
Br Cs O U,5.1,1
F H N Pb,5.9,2
Cu Mo Na O,4.6,4
Mg Mo Na O,4.2,1
Ba O Sr Zr,4.2,3
Cd La O Si,5.3,1
Cd O Si Yb,4.9,1
Cd Ho O Si,5.1,1
Cd Dy O Si,5.1,1
Cd Gd O Si,5.2,1
Cd Eu O Si,5.5,1
Cd O Si Sm,5.6,1
Cd Lu O Ta Ti,4.2,1
Cd Nd O Si,4.7,1
Cd Er O Ta Ti,4.3,1
Cd Nd O Ta Ti,4.2,1
Cd O Ta Ti Yb,4.2,1
Cd Gd O Ta Ti,4.4,1
Mg Mo Nd O,5.1,1
Mg Mo O Pr,5.1,1
Ce Mg Mo O,5.1,1
Cs Er O S W,5.2,1
Cd Dy O Ta Ti,3.2,1
Cs Lu O S W,4.8,1
Cs Dy O S W,5.1,1
Cs Gd O S W,4.9,1
Cs O S W Yb,5.3,2
Cs La O S W,4.9,2
Cs O S Tm W,5.0,2
Cs Eu O S W,4.4,1
Cs O S Tb W,5.0,1
Cs O S W Y,5.2,2
Cs Ho O S W,5.0,1
Cs Nd O S W,4.8,1
Cs O Pr S W,4.9,1
Ag Mo Nd O,4.2,1
Ag Mo O Y,4.5,1
Cd Fe La Nb O,4.3,1
Cd Fe Nb O Yb,4.3,1
Cd Fe Nb O Tm,4.6,1
Cd Er Fe Nb O,4.4,1
Cd Fe Nb O Y,4.0,1
Cd Fe Gd Nb O,4.2,1
Cd Fe Ho Nb O,4.5,1
Cd Dy Fe Nb O,4.6,1
Cd Fe Nb Nd O,4.2,1
Cd Fe Lu Nb O,3.9,1
Cs O S Sm W,4.6,1
Eu Mo O Tl,4.0,1
Ho Mo O Tl,4.4,1
Dy Mo O Tl,3.9,1
Mo O Tb Tl,4.1,1
Gd Mo O Tl,3.9,1
Al Mo Na O,4.0,1
As In Te Zn,5.0,1
As Cd In Se,5.1,2
K Mo O Th,4.8,3
Mo O Rb S,4.9,3
K O Sc W,5.1,1
O Rb Tm W,4.7,1
Lu O Rb W,4.5,1
Ho O Rb W,4.9,1
Dy O Rb W,4.9,1
O Rb Tb W,4.7,1
O Rb W Y,4.7,1
O Rb W Yb,4.6,2
Gd O Rb W,4.7,1
Eu O Rb W,5.0,1
Cs Lu O W,4.9,2
O Rb Sm W,4.9,1
O Pr Rb W,5.0,2
La O Rb W,5.0,4
Cs O Tm W,4.8,2
Cs O W Y,4.8,1
Cs O W Yb,4.9,2
Cs Dy O W,4.9,1
Cs O Tb W,5.1,1
Cs Ho O W,4.6,2
Cs Gd O W,4.2,1
Cs O Pr W,4.3,1
Cs Eu O W,4.5,1
Cs O Sm W,4.9,1
Ca Fe Ge Mg O,4.9,2
F Nd O Th,4.2,1
Cl Cu H O Rb,5.9,2
As H O Sn,5.6,1
Ce O V,5.1,8
Cu Fe Li Mn O,4.8,2
Cu Fe Mn O,3.9,1
Cu Fe Li O,4.8,2
Al Mo O Rb S,4.1,1
La S Zr,3.6,1
S Y Zr,4.5,2
Dy S Zr,3.8,1
S Sm Zr,4.4,1
S Tb Zr,3.7,1
K Mn O,5.5,13
Ce S Zr,3.6,1
H I O Sm,5.5,4
Mo Na Ni O,3.8,1
Nd O Sr Ta,4.7,2
B Ho Li O,4.2,2
Mn N Ti,3.6,1
Cr N Sc,3.2,1
Mn N V,2.5,1
Bi Eu S,5.2,4
Bi Eu Se,5.4,4
O Sb Y,4.5,4
Cd La Nb O Zr,4.6,1
Cs H In O Se,5.4,4
Cd Er Nb O Zr,3.9,2
Cd Ho Nb O Zr,3.0,1
O P Sc,5.2,3
Bi Cd Ge O,5.4,2
Te Tm Yb,4.8,1
C Ca O V,4.4,1
Cd Er Fe O Ti,4.1,1
Cd Fe O Ti Yb,4.0,1
Cs O Sc W,5.3,1
O Rb Sc W,4.9,3
Ca Er O Ta Ti,4.1,1
Ca Er Hf Nb O,4.6,1
Ca Er Nb O Sn,3.5,1
Ca Er O Ta Zr,3.8,1
Ca Er Hf O Ta,3.9,1
Er O Sn,5.2,1
Ca Er Nb O Zr,3.9,1
H I O Yb,5.5,4
Li O Pr W,4.9,1
Li Nd O W,4.6,2
La Li O W,4.4,2
Li O Sm W,4.3,2
Ba Nb O Sr,4.7,4
Cu Ga O W,4.5,1
Cu O Sc W,4.5,1
O Ru Tb,4.7,3
O Ru Sm,5.0,4
O Pr Ru,4.9,4
Eu O Ru,4.7,3
Nd O Ru,5.6,3
Gd O Ru,5.1,3
Cd Gd O W,3.7,1
Cs O P U,4.8,4
O P Rb U,5.0,3
Ca Lu Nb O,4.5,2
Ca Fe Nb O,4.1,3
Ca Nb Nd O,4.5,2
Ca Nb O Yb,4.2,2
Ca Ho Nb O,3.9,2
Ca Gd Nb O,4.7,3
Ca Eu Nb O,4.5,3
Ca Dy Nb O,4.1,3
Ca Nb O Sm,4.4,3
Ca Nb O Pr,5.3,3
Ca Nb O Tb,4.6,3
Ca Nb O Tm,4.7,1
K Mo O Sc,5.1,1
Li O P Sn,5.2,2
Bi Nb O Sb,5.1,1
Na O P Sn,5.1,3
K O P Sn,5.5,4
Br Nb Se,5.7,7
As O Ta,4.8,2
O P Ta,5.2,4
I Nb Se,5.2,4
H K Si,5.1,3
C H N O S U,4.9,9
Cs H O P,5.4,13
O Pr Sb,5.4,5
O Os Sr,5.3,7
H Mo N O,5.1,16
H K O Os,3.4,1
O P U,5.1,7
Br C O Tc,5.0,1
O Pb Sr V,4.3,3
Ca O Pb V,5.4,3
Ge Na O P,5.0,1
Ge K O P,4.9,1
La O Ti Y,4.2,2
Cs O S Yb,4.7,2
Cs Lu O S,4.7,2
Ga Hf Nb O,4.4,1
Ga Nb O Ti,4.2,1
Ga Nb O Sn,4.4,1
B C H N O U,4.4,1
B H O U,5.0,5
Ca La Mo O,5.1,2
Eu Li O S,4.9,1
Fe Li O Ti,5.0,3
Cr H O Sr U,4.9,1
Gd O Tl V,3.9,1
O Tl Tm V,4.6,1
Cd O Zr,2.8,1
La Nd O S,4.6,2
Er La O S,4.3,1
La Nb O Sc Ti,3.9,1
Fe Mn O V,3.3,1
Ag Ge Sb Te,5.4,3
Fe Mn O,4.1,3
F H Ni O Sb,5.8,1
Cu F H O Sb,5.2,1
La O Sr Ti,4.7,6
H O S Tl,5.6,2
As Cd In S,4.5,1
F H K O S U,5.0,1
Cs Er Mo O S,4.0,1
Bi Mo O Yb,4.8,1
Bi Er Mo O,5.2,1
Bi Dy Mo O,5.2,1
Bi Mo O Tb,4.7,1
Bi Mo O Tm,4.9,1
Al Si Tb,3.3,1
Al Si Sm,3.5,1
Al Dy Si,3.7,8
Al Si Tm,3.1,3
Fe La O Ti,4.1,4
Cr La O Ti,4.6,6
La O Ti Zn,3.8,4
Cl Nb O,5.9,3
Cl H N O Ru,6.1,16
Cu La Ni O,4.5,3
Cu La Nd Ni O,3.5,1
Cu La Ni O Pr,4.3,2
Cu La O Pr,4.5,2
Cu Eu La O,3.7,1
Cu La Nd O,4.5,4
Ho O Ta,4.6,7
Lu O Ta,4.4,2
Fe O Ti V,4.2,1
H Mg O Se U,5.3,3
Al Cu La Ni,3.7,1
Cu Fe La Ni,3.6,1
Cr Cu La Ni,3.8,1
F Li Nb O,5.6,3
F Mg Ni,6.0,1
Cr Cs O U,4.8,2
Na O P U,5.4,4
Nb O Pb Ti W,4.7,1
O Pb Sr W,4.7,1
H Ti V,4.4,2
Er H O P,5.2,5
Bi O Tl W,4.6,1
Ag Bi O W,4.6,1
Bi Mo O W,4.6,1
Cr Er S,4.4,4
Cr S Tm,4.6,3
Mg S Y,4.7,2
K La O,5.3,1
Ho K O,5.1,1
K O Yb,5.2,1
Er K O,5.0,1
K Nd O,5.2,1
Eu K O,5.1,1
K O Sm,4.8,1
Gd K O,5.1,1
Dy K O,5.1,1
K O Tb,5.1,1
S Y Yb,4.9,1
Ce S Yb,4.8,3
La S Yb,4.9,2
Nd S Yb,4.9,2
Eu La S,4.8,2
Dy S Sm,4.8,1
S Sm Tb,5.0,1
F Li Na Ti,7.1,2
Nd S Sm,4.9,2
F Fe Li Na,6.0,1
Cr F Li Na,6.0,1
F Li Na V,6.5,1
Ca Lu S,4.6,3
Ba La Na O V,3.5,1
Ca S Tm,4.7,1
Ba La O V,3.9,2
Co H Mo Na O,5.0,2
Ag S Sm,4.0,1
Ag Ho S,4.0,1
Ag S Y,4.8,1
Ag S Tb,4.2,1
Ag La S,4.7,1
Ag Pr S,4.9,1
Ag Ce S,5.1,1
Ba Na O W,4.3,2
Cr H K Mg O,4.3,1
Ba Li O W,3.6,1
Cd Cr H K O,4.9,2
Cr H K Ni O,4.4,1
Co Cr H K O,5.0,2
Li O Sr W,3.6,2
K O S Sn,5.2,2
F K Rb Y,5.7,2
O S Sn Tl,5.2,1
F K Na Y,5.3,1
F Na Rb Y,5.3,1
Cs F Na Y,5.6,1
H O Se Sm,5.2,3
H O Se Y,5.1,2
Dy H O Se,5.3,1
H O Se Tm,4.7,1
H Lu O Se,5.1,1
H O Se Yb,4.9,1
Er H O Se,4.9,2
H Ho O Se,5.3,1
Gd H O Se,5.1,2
Eu H O Se,5.2,2
H O Se Tb,5.6,2
Al K O W,3.6,2
Ga O Tl W,4.1,1
Fe O Rb W,3.3,1
Al Cs O W,4.2,3
Cs Fe O W,4.5,2
Fe K O W,3.6,1
Cr O Rb W,4.4,3
Cr Cs O W,4.4,2
Cu Lu S,3.7,1
Ag La Se Si,4.1,1
Cu Ge La Se,4.5,1
Ag Ge La S,4.4,2
Cu La S Si,3.8,1
Cu Ge La S,4.7,1
Cu Se Si Tb,4.1,1
Cu Pr Se Si,4.4,1
Cu Gd Se Si,3.4,1
Cu Se Si Sm,4.3,1
Cu Nd Se Si,4.3,1
Cu Dy Se Si,4.5,1
Cu S Si Y,4.1,1
Cu Er S Si,4.0,1
Cu Dy S Si,4.4,1
Ce Cu Se Si,4.2,1
Cu S Si Tb,3.9,1
Cu S Si Sm,4.6,1
Cu Gd S Si,4.3,1
Cu La Se Si,4.5,1
Cu Nd S Si,4.6,1
Cu Pr S Si,4.2,1
Ce Cu S Si,4.6,1
Er Nb O Sm,4.8,1
Dy Nb O Sm,4.9,1
Gd Nb O Sm,4.7,1
Eu Nb O Sm,4.9,1
In Nb O Sm,5.5,1
Cl Cr Cs K,5.9,1
Cl Cs K Sm,6.8,1
Cl Cs K La,6.2,1
Cl Cs In K,6.1,1
Cl Cs K Yb,6.1,1
Cl Cs K Y,6.1,1
Cl Cs K Tm,6.1,1
Cl Cs Dy K,6.8,1
Cl Cs Er K,6.1,1
Cl Cs Ho K,6.1,1
Cl Cs K Pr,6.9,1
Cl Cs Gd K,6.8,1
Ba La O Pa,4.2,1
Cl Cs K Nd,6.8,1
Ba O Pa Sc,4.2,1
Ba Ho O Pa,4.2,1
Ba In O Pa,4.4,1
Ba O Pa Y,4.2,1
Ba O Pa Yb,4.2,1
Ba O Pa Tm,4.2,1
Ba Dy O Pa,4.3,1
Ba Er O Pa,4.2,1
Ba Gd O Pa,4.2,1
Ba O Pa Tb,4.3,1
Ba Eu O Pa,4.2,1
Ba O Pa Sm,4.2,1
Ba O Pa Pr,4.2,1
Ba Ce O Pa,4.2,1
Ba Nd O Pa,4.2,1
S Sm Tl,4.4,1
La S Tl,3.8,1
O V W Y,4.6,1
O V W Yb,4.9,1
Dy O V W,4.5,1
Er O V W,4.7,1
Ho O V W,4.6,1
O Tb V W,4.2,1
Gd O V W,4.5,1
Eu O V W,4.9,1
O Sm V W,4.5,1
Cr N Pd,3.4,1
Al Eu Nd O,4.6,3
Al Eu O Sm,4.5,2
Al Gd O Sr,4.8,3
Al Eu O Pr,3.8,1
Al O Pr Sr,3.9,2
Al Nd O Sr,5.3,3
Ga Na O S,5.3,1
Fe Na O S,4.4,4
Ag Fe O S,4.5,1
Ag O S V,4.4,1
Cr Na O S,4.5,3
Na O S V,5.3,8
F Nb O Ti Tl,3.7,1
F Na Nb O Sn Ti,4.4,1
F O Ti Tl W,4.2,1
O Pb Ti W,4.9,2
F O Rb Ti W,3.4,1
F Nb O Sn Ti,4.8,1
K O S Sc,5.0,2
Fe K O S,5.2,2
F Na O Ti W,4.2,1
Cd O Ti W,4.2,1
Fe K Na O S,5.3,1
Fe O S Tl,4.9,2
Ga H N O S,5.4,1
O S Tl V,5.2,2
Cr O S Tl,4.8,1
O S Sc Tl,4.7,1
Fe H N O S,5.2,8
Ga O S Tl,5.4,2
H In N O S,5.3,3
Ni O Sm,3.9,1
Ni O Yb,3.6,1
Ho Ni O,3.5,2
Dy Ni O,3.3,2
Gd Ni O,5.6,3
Eu Ni O,3.4,1
B Br Eu O,4.0,1
Nd Ni O,4.5,6
B Ca Cl O,5.1,2
B Cl Eu O,4.9,3
B Ba Br O,5.3,3
B Br O Sr,5.4,2
B Br Ca O,5.5,1
B Ba Cl O,4.4,2
Ge O Sn Tl,5.2,1
Ge K O Si Ti,4.6,1
B Cl O Sr,4.7,2
Ge O Ti Tl,4.7,1
Ga La S,4.6,1
Mg O S Ti,5.3,1
O S Ti Zn,5.0,1
Ni O S Ti,4.6,1
Co O S Ti,5.3,1
Cu O S Sn,5.2,1
Co Er O,3.4,1
Fe O S Ti,4.7,1
Co O Tm,4.0,1
Co O Y,4.3,1
Mn S U,3.4,1
Co S U,3.8,2
Fe S U,4.3,3
S U V,4.2,1
Cr S U,4.2,2
S Ti U,4.7,3
Lu O S,4.6,1
La O Pr S,4.5,1
Eu La O S,4.2,1
F La Se,5.3,2
F Gd Se,6.0,1
F Se Sm,6.1,1
Ce F Se,6.2,2
F Pr Se,6.0,1
Na S Y,4.4,1
K Lu S,4.9,1
K S Tm,4.9,1
F In Mg Na,4.5,1
F Ga Mg Na,6.0,1
Cr F Mg Na,5.9,1
F Mg Na V,5.7,1
F Mg Na Sc,5.8,1
F S Yb,5.6,3
I La S,4.5,1
Ce I S,4.6,1
F Fe Mg Na,6.5,1
F Lu S,5.9,2
Er F S,5.6,2
F Ho S,5.4,2
F S Y,5.4,2
I Lu S,4.8,2
I S Yb,5.0,2
Dy F S,6.1,1
Er I S,5.3,2
Ce F S,5.2,1
F S Sm,5.5,1
F Nd S,5.5,1
Dy I S,5.3,1
F Gd S,5.7,1
F Pr S,5.9,1
F La S,5.4,1
Br Pr S,5.3,2
Gd I S,5.1,2
I S Y,5.5,1
Br S Yb,5.0,1
O Pr Se,5.0,4
Br Er S,5.2,1
Br Ho S,5.2,1
Br S Y,5.8,1
La O S,5.2,3
Ce O Se,5.3,5
La O Se,4.9,2
O Pr S,5.4,4
Ce O S,5.3,4
Li Mn O Zn,4.2,2
Cu Mg Mn O,4.4,4
F Fe O,5.0,2
Ge Li Mg O,4.0,1
Cd Li O Si,4.6,2
Fe Li O Si,5.3,6
Li O Si Zn,5.1,4
Co Li O Si,4.8,2
Cd Ge Li O,4.2,2
Ge Li Mn O,4.6,1
Co Ge Li O,4.3,2
Cu Nd Se,4.0,1
Cu S Tb,4.0,1
Be Cu F H N O S,6.0,1
Cl H N Ru,5.4,3
F K Li V,5.7,1
F K Rb V,3.7,1
Ca O V W,3.5,1
Ca O Ta V,2.8,1
F K Na V,7.0,1
Cs F Rb V,5.4,1
Np O V,4.2,1
Ba Cr F,6.4,2
Ce F O,3.4,2
Ba S Si,3.8,2
Cu Se Te,5.0,2
K O Re,4.3,2
Fe O Tb,4.1,3
In O Tl,5.0,1
In O Sc,4.6,2
Cr Er O,3.3,1
Fe O Te,5.6,4
Cr O Te,4.4,2
Ba F Fe,7.3,7
Ag In Te,4.2,2
Cd Cr In S,4.1,1
Mn O Sn,5.2,3
Cl Cs Ni,5.9,2
P S Y,4.7,3
As Se Y,4.1,1
Co H Na O S,4.7,3
C Fe H N,3.6,1
F Li Na Rh,5.9,1
F Li Na Sc,7.4,1
F In Li Na,6.1,1
Nd O W,5.0,3
O S Sc,4.8,2
Ce O W,4.9,3
O Sr Th V,4.2,1
Li O Th V,3.7,1
Ca O Th V,3.7,1
Ca Cr O P Sn,4.2,1
Cr O P Sr Ti,4.8,1
Ca Fe O P Ti,4.2,1
Ca Ga O P Ti,4.5,1
Na O Th V,3.8,1
K Mo O Re,4.7,1
Mo O Rb Re,4.6,1
Fe O P Sr Ti,3.9,1
Cs O Re W,4.7,1
Cs Mo O Re,4.4,1
K O Re W,4.7,1
O Rb Re W,4.7,1
Cr Ho S,4.4,2
Cu F Rb,6.9,4
Cs F Ni,6.5,7
F Ni Rb,6.0,5
Ba Cu La Nb O,4.7,1
Cs Cu F,6.4,4
Eu N Nd O Si,4.9,1
Ba La Nb O Zn,4.9,1
Ba La Nb Ni O,4.2,1
Ba La Mg Nb O,4.5,3
La N O Si,4.7,4
Co Nd O Sr,4.3,2
Er N O Si,3.7,2
Ho N O Si,4.0,2
Dy N O Si,4.0,2
Gd N O Si,6.1,4
N O Si Sm,4.1,1
N Nd O Si,5.0,2
Ba Cs Fe O P,4.3,1
Ba Fe O P Rb,4.3,1
Cr O P Rb Sr,4.2,1
Ba Cr Cs O P,4.2,1
Fe K O P Sr,4.4,1
Ba Fe K O P,4.5,1
Fe O P Sr Tl,4.5,1
Fe O P Rb Sr,4.3,1
Cr O P Sr Tl,4.2,1
Ba Fe O P Tl,4.2,1
Ba Cr O P Tl,4.4,1
Ba Cr O P Rb,4.2,1
Ce F Tl,6.8,1
Al Cr H K O,4.6,2
K O P Pb,5.6,4
Be Li Sb,4.7,1
Ag K O,4.2,2
Ag C K O,4.2,2
Mn S Sn,4.4,2
C F Na O Sb,5.8,1
Cd Na O P,5.0,4
F H K O Sn,6.1,1
Cu Mo O Th,4.4,1
O Sb Tl,5.7,2
F Se Y,6.0,4
F Lu Se,5.8,2
F Se Yb,4.3,1
Ga La O S,5.0,4
Li Na O Ta,3.9,1
K O Sb,5.0,8
F Rb Te,6.6,1
Mn Nb Si,3.8,2
Br F Rb Sb,6.4,1
Ag F Nb O,4.7,3
Co F Rb,5.8,3
Co Cs F,6.0,6
O Se Tl,5.0,2
Cr Si Ta,4.4,2
Fe Se Zr,3.6,1
Ni Se Zr,3.9,1
Bi Ce O S,4.1,1
F Hg Ni S,5.6,1
F Hg Ni O,5.0,1
Cs Cu O P,4.8,3
Ca La O V,5.1,1
Ca F O V,4.5,3
Ca F La O V,4.7,1
F Mg Na O Ti,4.4,2
K Na O P,4.6,2
Eu Mn O Ta,4.0,1
Al Eu O Ta,2.8,1
K Mg O,4.7,1
F H K O U,5.9,1
Ba Mn O U,4.2,1
Cr Cs Fe O,3.7,1
Cl Eu H,5.5,2
Co Hf S,3.9,1
Ce Li P,4.6,1
Li P Pr,4.6,1
Cu F K Na,5.4,1
Cu F Na Rb,6.7,1
F H O P Sr,4.9,1
Ca Fe Ga La O,4.3,2
Ca Fe La O Ti,4.8,1
Ca Fe O Ti,4.6,1
K Mo S,4.1,2
In O Si,5.5,3
H O P Sr,5.2,8
As H O Rb Te,4.7,1
F O P Sr,4.4,2
S Sc U,5.1,4
H N O P Tl,5.2,2
Ag Bi Cr O,4.4,1
Cr K O Sr,4.9,2
K Mn O Sr,4.5,1
Cs F O Zr,5.5,1
F Na O Ta,4.9,3
F Li Rb V,3.8,1
C Mn Si,4.1,5
B C Dy,4.3,6
La O Sm V,5.1,2
Er Gd O V,3.9,1
H O S V,5.1,8
K O Sr Ta,5.0,3
Ba K Nb O Ta,4.3,1
Ba K O Ta,5.2,1
H O P V,5.2,11
Ba Ge O P,4.9,1
Ba O P Sn,5.0,1
Ba O P Ti,4.8,4
Mo Ni Se,3.8,1
Cu Mo Se,4.0,2
Ag Mo Se,4.5,2
O Os Pb,4.4,2
Ag H O Ta W,4.5,1
H K O P,5.5,26
F Nb O Zr,4.4,1
F Tl Zr,5.7,2
Na Nb O Sr,5.4,6
Ba Na Nb O,5.0,5
Ba K Nb O Sr,5.0,1
Ba Ca Na Nb O,4.7,1
Ca K Nb O Sr,4.6,1
H In O Rb S,3.6,1
Ba Ca K Nb O,5.0,1
Li S Sn,5.0,4
Cs H In O S,5.1,2
Cs H O S Tl,5.0,1
O Rh U,4.3,1
F K O P,6.0,3
F H N O P,5.0,3
F O P Rb,5.3,2
Na S Sn,5.4,3
F K O Ta,5.5,5
Ag Er Te,5.6,3
Ag Ho Te,5.6,2
Ag Te Y,5.6,3
Ag Te Tm,4.1,1
Ag Lu Te,5.0,1
Mg O S Sn,5.1,1
Ni O S Sn,5.1,1
Mn O S Sn,4.8,1
O S Sn Zn,5.3,1
Cd O S Sn,4.9,1
Co O S Sn,5.4,1
Na O Ru,4.8,5
F Nb O V,4.5,1
F Nb O Ti,4.5,1
Nb O Sr Tl,4.6,1
Fe La Li O Sr,4.8,2
Ba Nb O Sr Tl,4.6,1
Ba Ca Nb O Tl,4.5,1
Al Ca H N,4.0,1
Al Na O S,4.7,1
Cl La S,4.7,1
Fe O Rb S,4.6,2
Cs Fe K O S,4.3,1
Nb O Sr V,3.5,1
Cs Fe O S,4.1,1
Ba Nb O V,4.6,3
Ba O Ta V,3.9,1
O Ti U,5.2,1
O Sr Ta V,4.3,2
H N Ni O S,5.1,6
Be Co F H N O,5.0,1
Na O Sc W,4.5,3
Ga Na O W,4.3,1
Hg Mn N,3.7,1
Fe O Sr W,3.5,2
Cr O Sr W,4.2,1
Na O S Tl,4.0,1
Ca Ga N,4.4,5
Eu O Yb,3.5,1
Cd Ce Mo O,4.6,1
F Na O P,5.7,1
F Na O P Rb,5.2,1
Mn O Sn Zn,4.9,2
O Si Tm,4.8,4
Br Mo Te,5.0,1
I Mo Te,6.4,2
Ca Na Nb O,3.6,2
F H Li N O P,4.8,1
Co O Sb,4.8,2
As Mn Mo,2.9,1
As Mo V,4.1,1
Cu K O P,5.4,6
Mo O Th,4.1,2
B Ba O Sn,4.5,1
H N S,5.4,11
O S U,5.4,5
Ag F Mg,5.3,1
Cd Ge Pr S,3.6,1
Cr Nb Se,4.2,2
Ho Li O W,4.8,2
Cd H O,4.9,2
Br O Pb Sb,5.7,2
Ca Ge S,4.6,1
Cl O Pb Sb,5.6,1
Cs F Fe,6.3,8
Ge S Sr,4.3,1
F Fe H N,5.5,5
H Li O P,5.1,11
Ba S U,4.6,5
Ge K O Ta,4.9,4
Ge K O Si Ta,4.5,1
O Re V,5.0,3
Ba Ge O Rb Sn Ta,4.7,1
Ba Ge O Sn,5.0,1
H O Pb Sn,5.2,1
B Hg O,4.8,2
H K Nb O W,4.2,2
Nb O Sm,4.9,4
Mn Mo O W,3.6,1
Co Mo O W,3.7,1
K Nb O W,4.6,4
Ca H N O,5.3,6
Cr F K Li,5.7,1
Ni S Se,3.5,1
Li Mo O V,3.7,3
Al O Pb,4.8,3
O Si U,4.4,3
F Fe Li,6.7,6
Ba C H O,4.9,5
Ag O Ta W,3.9,1
Cr Ge Ti,3.2,1
As Fe H O,5.3,7
Be Cu F H O,4.7,1
C Na S,4.6,1
Nb O Ti U,4.0,1
Fe O Sr U W,3.8,1
Fe O Sr U,4.2,3
Be F H N,5.9,8
Br O V,4.8,2
As Ba Ni O,5.1,1
As O P,5.3,2
Ge Si Ti V,3.8,1
Cu Fe O Ti,4.4,1
D0+ La Ni,4.5,2
Br O Y,5.5,1
Br Gd O,4.9,1
Br La O Y,3.5,1
Br Gd La O,4.5,1
Bi F In Pb,5.4,1
Br La O,4.5,1
O Pr Zr,4.8,5
Ho O Zr,4.8,3
O Tm Zr,4.8,3
Ba Er O,5.0,2
La Mg O P Si,6.0,1
Ca La O P Si,4.8,1
Ba La O P Si,4.9,1
K Mo O Y,4.6,3
K Mo Nd O Y,3.6,1
Cr O Ta Ti,4.3,1
Fe O Ta Ti,4.4,2
Ce Nb O Ti,4.8,1
Fe Mg O Zn,3.8,1
B O Tb,5.1,3
Ca Fe Gd Ge O,4.4,1
Ca Fe O Si,4.6,3
Ca Fe Ge O,4.5,2
Ca Fe Gd O Si,4.1,1
Eu Gd O Ta,4.4,4
Cr Cu Mg O,3.8,2
Bi Pb S Tl,5.2,2
Po Y,5.9,1
Bi K O P,5.3,5
Mo Na O Zr,4.3,1
Dy Ga O,4.8,2
Ni O Pr,4.5,3
Ca Eu Ga O,4.2,1
B Ca H O,5.5,23
I Li O,4.9,4
Be Ga O Sm,4.8,1
Be Ga Nd O,5.1,1
Be Ga La O,5.0,1
Ca Fe O V,4.9,2
Ca Fe O Ti V,3.8,1
Ag In O W,4.2,1
Ba K Nb O Ti,4.5,4
K Nb O Sr Ti,4.5,1
Cd S Se Te,4.8,2
Ga Na Nb O Sr,4.3,1
Ca Ga Na Nb O,4.5,1
Cr K Nb O Sr,3.2,1
Ba Ga K Nb O,3.9,1
Ca Cr K Nb O,4.3,1
Ba Fe K Nb O,3.9,1
Nb O Rb Sm,5.0,1
Nb O Pb Rb,4.5,2
Cr Nb O Sr,4.3,1
O Pb Rb Ta,4.6,1
Ag Ba O Ta,5.1,1
Ba O Ta Zn,4.6,4
Ba Hf O Ta,4.0,1
Ba In Nb O,4.2,2
Ba Nb O Sn,4.8,3
Ba Nb O Zr,4.0,5
Cd Cr Nd O Ta,3.4,1
Cd Cr O Pr Ta,3.4,1
Cd Cr La O Ta,2.9,1
Cd Cr O Sm Ta,3.3,1
Cd Cr Eu O Ta,3.8,1
Cd Cr Gd O Ta,2.7,1
Cd Cr O Ta Yb,2.9,1
Cd Cr Dy O Ta,3.7,1
Cd Cr Lu O Ta,3.2,1
O P Pr,5.7,5
O P Yb,5.1,5
Er O P,5.7,4
Ho O P,5.4,3
Dy O P,5.4,6
Bi Fe O P,5.6,4
B Bi O V,5.3,1
Al Bi O V,5.2,2
Bi Ga O V,5.3,1
B Bi O P,5.5,2
Bi In O P,5.5,1
Bi In O V,5.3,2
As Bi O,5.4,4
Bi Fe O V,5.2,3
Al Bi O P,5.4,1
Bi O P Zn,5.6,5
O Si Tb,4.8,3
Ho O Si,5.1,6
Er O Si,5.1,5
Nd O Si Sr V,5.8,1
Ca Nd O P Si,6.1,1
As Nd O Si Sr,6.3,1
As Ca La O Si,6.0,1
Nd O P Si Sr,5.3,1
Ca Nd O Si V,6.0,1
As Ca Nd O Si,5.3,1
Ca La O Si V,5.5,2
Ga Rh Yb,3.6,3
Ga Rh Tm,3.5,3
Er Ga Rh,3.2,3
Ga Ho Rh,3.5,3
Dy Ga Rh,3.2,1
Ga Rh Tb,3.4,3
Ga Ir Y,3.2,2
Ga Ir Yb,3.2,1
Ga Gd Ir,3.1,2
Dy Ga Ir,3.3,3
Ga Ir Tb,3.1,3
Ga Ir Tm,3.1,2
Er Ga Ir,3.1,1
Ga Ho Ir,3.3,4
Ga Ir Sm,3.2,1
Pb S Sn Te,4.7,1
Dy Mn O,5.0,5
Ag Hg In Te,1.8,1
Mn O Tb,5.1,3
Ho Mn O,4.9,5
Er Mn O,4.7,6
In Mn O,4.8,3
Ba Bi Ga O Ta,4.5,1
Ba Bi Fe O Ta,4.6,1
Ba Fe O Ta,5.2,3
Ba Bi Mn O Ta,4.7,1
Ba Mn O Ta,5.0,2
Ba Bi O Sc Ta,4.6,1
Ba Bi Mn Nb O,4.2,1
Ba O Sc Ta,4.6,3
Ba Bi Nb O Sc,4.5,1
Ba Nb O Sc,4.1,3
Ba Mn Nb O,4.9,4
Ba Bi O Ta Ti,4.2,1
Ba Bi Nb O Sn,4.3,1
Ba Bi Nb O Zr,5.3,1
Ba Bi Nb O Ti,4.4,1
Ba La O Sn Ta,4.8,2
Ba Nb O Y Zr,5.7,1
Ba Nb O Ti Y,5.3,2
Ba La Nb O Sn,5.3,3
