phases,max energy gap,n compositions
C Y,4.4,7
Eu Pd,3.8,1
Fe P,4.2,5
Ge Sr,4.6,8
Ge Yb,4.2,6
Hg Tl,4.0,3
Ho Si,4.5,5
H Ti,4.1,1
In Ir,3.7,3
In Pd,3.3,4
In Sc,4.8,5
In Ti,3.2,1
La Si,4.6,7
Mg Ni,4.7,4
Nb Ni,3.3,1
Nd Sb,4.7,4
Ni S,4.1,5
Ni Sn,4.3,2
Ni Tb,3.7,2
Ni Y,4.5,4
O U,5.1,9
Pb S,5.0,5
Pb Sc,3.9,2
P Ti,4.3,4
Pt Sn,3.5,2
Rh Sc,5.0,2
Ru Sn,2.9,2
Ru Y,4.5,4
Sb Yb,4.3,5
Sc Sn,5.2,4
Si Sr,5.4,5
Si Tb,4.0,2
Si Yb,4.5,5
Sn Sr,4.5,5
Sn U,4.9,3
S Si,5.2,4
S Sm,4.3,1
Y Zn,4.1,4
Zn Zr,3.2,2
Co V,3.7,1
Cu S,4.4,4
Ge V,3.7,3
Sb Zn,4.9,6
Ag Sr,4.2,3
Al Ga,3.4,1
Al Ge,4.4,4
Al La,4.5,4
Al Mn,3.6,5
As Cd,2.9,1
Be V,4.6,2
Bi Li,4.8,3
Bi Se,5.3,12
Bi Te,6.0,8
Bi Yb,4.1,3
Ce O,4.9,4
Co Y,4.5,6
Cr N,4.1,2
Cu Hf,2.9,2
C V,3.8,3
C W,3.3,1
D0+ V,4.4,2
Dy Mg,4.7,2
Er Zn,3.1,4
Ga Pt,3.4,4
Ho Zn,2.8,3
Ir Zr,3.9,2
La Pt,3.8,5
Mg Sr,4.7,6
Mg Tb,4.7,4
Mg Yb,4.7,2
Nb Sb,4.0,3
Nd Zn,3.5,6
Ni Ti,3.7,3
O Pb,5.4,10
O Pr,5.2,7
O W,4.7,10
Pd S,3.2,2
Pd Si,3.3,3
Pd Te,4.4,2
Pr Pt,3.7,2
Rh Ti,3.8,1
Sc Si,4.9,3
Se Sn,4.7,1
Si Zr,3.6,4
Tb Zn,3.4,4
Ag Cd,2.6,1
Al Br,5.2,1
Al Ce,4.8,5
Al Fe,3.4,3
Al Mo,3.7,7
Al S,4.8,3
Al Sn,3.9,2
Al W,3.5,3
As Zn,4.1,2
Au Mg,4.2,4
Au Sn,4.4,5
Ba P,4.8,9
Ba Pd,4.9,2
Ba Pt,4.5,4
Be Cu,4.3,2
Be Mo,4.8,4
B Gd,3.6,6
B Hf,3.5,2
Bi Pb,5.1,3
Bi Rh,4.0,4
Bi Ti,3.4,2
B La,3.1,2
B Nb,3.6,4
Br Te,5.9,1
B Si,4.2,2
B Ta,3.7,2
B V,3.6,4
B W,3.3,4
B Zr,3.3,1
C Cl,6.1,28
Cl,6.1,1
C Cr,3.6,1
Cd Pb,4.7,1
Ce In,4.5,3
Ce N,4.3,1
Ce Ni,4.1,3
Ce Zn,4.3,8
Cl F,6.2,3
Cl In,5.7,1
Cl Mo,6.1,6
Cl O,6.3,4
Cl Re,6.0,3
Cl S,5.6,2
Cl Sn,6.3,3
Cl Te,6.2,2
Cl Tl,6.1,4
Cl W,6.1,5
Cl Yb,6.4,3
C Nb,3.6,3
Co Ge,3.6,2
Co Nd,4.5,4
Co Pr,4.1,2
Co S,4.1,4
Co Sb,3.9,3
Cr S,4.3,6
Cs K,4.5,3
Cs,4.4,6
Cs O,6.2,10
Cs Rb,4.4,1
C U,4.2,1
Cu Sn,3.9,3
Cu Ti,2.0,1
D0+ Nb,4.1,1
H Ta,4.3,1
Dy Sb,5.1,4
Er Pt,3.7,3
Eu Ge,4.3,4
Fe Si,3.2,2
Fe Sn,3.5,2
F U,5.6,3
F Xe,6.5,2
F Yb,5.8,3
Ga Ge,4.1,1
Ga K,4.3,3
Ga Na,4.2,2
Ga U,3.5,2
Ga V,3.6,1
Gd H,4.6,2
Gd Mg,4.8,3
Gd Si,4.0,4
Gd Zn,3.3,5
Ge Mn,4.3,2
Ge Nb,4.2,3
Hf Ni,3.1,1
Hf Si,3.5,2
Hg Sn,4.5,5
D0+ Lu,4.5,1
H Nb,3.9,1
H O,4.6,3
H Pr,4.6,1
In K,4.6,5
In Na,4.0,3
In Nd,4.0,2
Rb,4.4,5
In Rb,4.2,2
I Te,6.3,5
I Th,6.3,2
K Na,4.5,1
K Sn,4.9,4
Li Sn,4.5,8
Mg Nd,4.7,4
Mg Pb,4.7,2
Mg Pd,4.7,7
Mg Sn,4.6,1
Mn Si,4.5,2
Mn Sn,3.6,1
Mn Ti,4.2,2
Mo N,3.8,2
Mo O,4.8,11
Mo Pd,3.5,1
Mo Si,3.5,2
Na S,5.5,8
Nb O,5.0,12
Nb Sn,4.0,2
Th,4.3,2
Nb Th,4.3,1
Nd Pt,3.9,2
Ni Se,4.1,2
N U,4.8,3
O Sb,5.6,5
O Tb,4.7,5
O Ti,4.4,9
O V,5.1,12
Pd Sc,3.9,2
Pd Yb,3.6,1
Pt Zr,3.8,1
P U,4.5,4
Rb Sn,4.4,3
Rh S,4.5,2
Se V,5.0,3
Si Ta,3.7,2
Si V,3.4,2
Si W,3.7,2
Sn Ta,3.3,2
Sn Tl,4.5,8
Sn V,4.0,2
S Ti,4.8,18
S V,4.4,5
Ta Te,5.2,3
Te Tl,5.7,4
Ag Gd,3.3,2
Al Pr,4.2,6
Al Sr,4.1,4
N,4.6,6
Ba Pb,4.5,5
B Ba,3.6,2
B Ca,3.2,2
Bi Sn,4.9,4
Ca Pb,4.6,3
Ca Sr,4.7,3
Ca Zn,4.3,4
Cd Eu,3.8,2
Cd Gd,3.5,2
Cd Sn,4.4,2
Co Sc,3.8,2
Co Th,3.8,3
C Pu,4.5,2
Cr Cu,3.7,1
Cr Pt,3.7,1
Cu Eu,3.4,1
Cu Ga,3.0,1
Cu Ho,3.0,2
Cu Sb,3.9,5
Cu Yb,3.2,1
Dy Ga,4.6,5
Eu Mg,4.7,4
Fe Sc,4.9,1
Fe Te,5.4,5
Fe Th,4.0,2
Ga Sc,4.0,4
Ga Tb,4.9,4
Gd Ge,4.0,7
Ge Mo,4.0,4
Li Zn,3.9,2
Mg Sc,4.7,2
Mg Y,4.7,4
Na Te,6.1,3
Ni Sb,4.7,6
Os V,3.5,1
Pb U,3.3,2
Pd Sb,3.6,3
Pr Y,4.6,3
Cd Cu,2.8,1
Nd Y,4.4,2
Si Y,4.1,7
I,6.3,6
Cl Ga,5.9,2
Cl Sb,5.9,3
Er Si,4.0,4
Ag Nd,3.9,3
Ag Sc,3.9,2
Ag Y,3.0,1
Al B,3.1,1
Al Ho,3.7,3
Al Tb,3.4,2
As Br,5.8,1
B Re,3.7,2
Br Sb,6.4,2
B Sc,3.7,3
Co Ho,3.5,1
Co Zr,3.8,1
Cr Ge,3.9,4
Cs In,4.1,3
Cu In,2.9,1
Cu Tm,3.0,1
Mg Sm,4.5,3
Na Pb,4.1,2
Nb P,4.5,5
Sb Y,4.7,7
Sc Th,4.4,1
Sc Y,4.4,1
Sm Zn,3.3,5
Th U,4.3,1
V Zn,3.2,2
Ag Er,3.4,1
Au Ce,4.0,4
Au Ga,3.2,1
Au Sb,4.7,3
B Ce,3.2,2
B Fe,3.0,6
B Pr,3.4,3
Ba Ga,4.5,5
Bi Gd,3.7,2
Bi Ho,4.0,2
Bi Tb,3.9,2
Bi Y,4.2,2
Ca Ga,5.3,7
Cd Sr,3.3,2
Ce Sn,4.7,7
Er Y,4.1,1
Eu Pb,3.6,2
Eu Sb,4.7,5
Ga Sr,4.4,3
Gd Ni,3.3,1
Gd Pb,3.3,1
Gd Tl,3.9,2
Ge Zr,4.2,2
La Zn,3.9,5
Li Si,4.4,3
Lu Ni,2.6,1
Lu Pb,4.5,2
Nd Ni,3.6,2
Pb Zr,3.5,2
Pd Sn,4.2,6
Si U,4.1,7
Sn Yb,4.0,5
Bi La,4.3,4
B Zn,3.0,1
Ca In,4.8,3
Ce Ga,4.5,5
Dy Pb,4.2,2
Ge Ta,4.0,3
K O,5.1,6
La Mg,4.8,8
Na Si,4.8,3
Ag Ca,3.7,3
Al Yb,3.5,1
Ba Si,4.6,8
Co La,4.3,3
Cu Th,3.9,1
Ga Mn,3.4,3
Mg Tl,4.7,4
Mn N,3.4,2
O Sn,5.3,8
Pb Y,4.3,3
Pr Zn,4.0,6
Al U,4.1,3
As Fe,3.9,2
B Mg,3.5,2
B Ni,2.8,2
Cd Tl,3.9,1
Co U,3.9,2
Cu Pu,3.6,1
Dy Sn,4.4,8
Ga Sn,4.4,2
La Pb,5.0,3
Mg Pu,4.6,1
Mn U,4.0,2
Ni Sm,3.5,2
O Pu,5.0,1
Pt Sb,3.2,1
Sn Zr,4.3,3
Te Ti,5.4,3
Ag Ho,3.3,1
Ag Tb,3.2,1
Al Ta,3.3,1
Ce S,4.7,4
Co Er,4.0,3
Ni Th,3.6,3
Ni U,3.4,2
Pb Pt,4.0,3
Ag Al Pr,3.7,7
Ag Pr,3.6,2
Ag Al Y,4.2,4
Ag Ce Ge,4.3,3
Ce Ge,4.5,8
Ag Ce Sn,4.4,2
Ag Ga Hf,3.4,1
Ga Hf,3.8,3
Ag Ga Ti,2.8,1
Ag Ge Nd,4.4,2
Ge Nd,4.3,6
Ag Ge Pr,4.4,2
Ge Pr,4.3,7
Ag La Y,4.0,1
O Te,6.1,6
Pr Sn,4.9,6
Ag Pr Sn,4.5,2
Ag Sn U,3.5,1
Al Ce Cu,3.9,5
Al C Fe,3.2,1
Al Co Si,3.5,6
Al Co Ti,3.0,1
Al Cr Mg,2.8,1
Al Cr Mn,3.5,4
Al Cr Nb,5.1,3
Al Cr Ti,3.7,4
Al Cu Dy,4.2,4
Al Cu Er,3.8,5
Cu Er,2.9,1
Al Cu Eu,3.3,4
Al Eu,4.0,2
Al Cu Fe,2.7,1
Al Cu Gd,4.2,8
Al Cu Ho,3.4,5
Al Cu La,3.5,4
Al Cu Li,4.2,3
Al Cu Lu,3.7,4
Al Lu,3.6,4
Al Cu Mg,4.3,4
Al Cu Nd,4.0,4
Al Cu Pr,4.1,3
Al Cu Ru,3.1,3
Al Cu Sc,4.2,3
Al Cu Sm,4.3,5
Al Cu Tb,4.1,3
Al Cu Y,4.2,4
Al Cu Yb,3.8,4
Al Cu Zn,3.4,1
Al Er Mg,4.0,1
Er Mg,4.8,4
Al Fe Ho,3.3,3
Al Fe Ni,3.2,3
Al Fe Si,3.6,6
Al Fe Tb,3.7,3
Al Fe Ti,3.5,3
Al Fe U,3.7,5
Al Ho Ti,3.5,2
Al La Y,3.8,2
Al Mg O,5.3,3
Al Mg Si,4.4,4
Al Nb Ti,3.7,1
Al Ni Ru,3.2,2
Al Ni Si,2.8,1
Al Ni Ti,3.3,4
Al Ni Y,3.9,7
Al N Ti,3.9,3
Al Zr,3.6,4
Al Pd Ti,3.3,2
Al Pr Ti,3.3,1
Al Pt Ti,3.4,3
Al Ru Ti,3.2,1
Al Si Ti,4.2,4
Al Ta Ti,3.3,1
Al Ti V,3.1,2
As W,4.4,1
As Cd Zn,3.8,1
As Ce Ni,3.7,4
As Ce,4.7,3
As Ni,3.9,4
As Mo,4.2,2
As La,4.5,4
As La Ni,3.7,3
Au Ce Sn,4.5,3
Au Ge Nd,4.1,3
Au Mn Sn,2.7,1
Au Nd Si,3.8,2
Nd Si,4.4,3
Au Pt Sn,3.2,1
Au Sn U,4.1,2
Ba Cl,6.3,3
Ba Cl Yb,6.1,1
Ba Sb,4.3,6
Ba Cu O,4.3,5
Ba F Lu,5.8,2
Ba F Y,6.4,2
F Y,5.6,2
Ba Lu S,3.3,1
Ba Nd S,4.9,2
Ba S Sm,3.8,2
S Tb,4.6,8
Ba S Y,4.2,1
B Ba O,5.1,5
B Co Nd,3.2,2
B Co Pr,3.2,2
B C Si,3.0,1
B Ti,3.3,3
B C Ti,3.5,2
B Fe Yb,2.7,1
B Yb,3.5,2
Bi Fe O,5.5,7
Bi Sm,4.5,4
Bi Ge Te,5.9,9
Bi O Sn,5.9,4
Bi Pb Te,6.3,4
Bi Sn Te,5.7,3
Bi S Sn,5.4,2
B Mo Si,3.0,1
Bi O Ti,5.5,9
Br Cs Te,6.2,1
Br Rb Te,6.3,2
Br Te Tl,5.7,1
B Ti V,3.7,1
Ca Cl F,6.7,1
Ca Cr O,4.1,4
Ca Mg Si,4.2,2
Ca O Si,5.7,14
Ca O Sr,5.9,1
Ca O Te,5.7,10
Ce Co Ge,4.7,8
Ce Co Zn,4.2,4
Ce P,5.4,5
Ce Cu Sn,4.6,5
Ce Ge Pd,4.1,5
Ce Pd,3.7,5
Ce Pt,4.6,5
Ce Ge Pt,3.9,5
