phases
Ba H Sm
Kr O Pb
H Rb Sn
Ge Kr Tm
Ba H Y
Hf Tm Zn
La Ni Sr
Au Ru Zr
Mn Pb Zr
Ag La Sc
Cr Cu Ho
Br Ga Gd
Mo Nb Rh
O Se Th
Be Pr Rb
Hf Sc Tl
Pm Ru W
Ge Kr Sb
N Os Sb
Al Cd Sr
Ho N Yb
Eu I Sn
Ga Ir W
P Pr Se
Ag Rh Th
Al Gd Pb
Mn Th U
Be Dy Li
Li Mg Np
Cr Sr Te
Ca Gd Lu
C Rh W
Cd Ge U
Cs P Te
K Pd Yb
Co Os S
Lu Sb Te
Ce Pu Yb
F K Pa
Cs La Pa
Cu Tb Zn
Mn O Pd
In Se Si
Pt Ta Tm
Pm Re Tl
Nd Pa Zr
Ho Si Sm
Al La Ti
Co H S
Cd Pu Tc
Bi I W
Os Sr Ta
Cu Er N
Ba I Li
B Cs Pb
As Cd Yb
Pm Pr Tb
H Hg Te
Cu F Ti
O Pd Ti
Bi Cd La
Cd H In
Au In W
Hf Ho P
Be Ce Li
Ac P Rh
As Er Hf
H Na U
Ho Ru Ti
Cs Pt Sr
Gd Li Pb
C Pt Si
H Nb Ta
Rh Se Zn
Co Fe Ho
Rh Y Zn
Hf Lu Pm
Cs Se Tm
O P Pu
Ca H Pd
As Ho K
Ca Ir K
Rb Tm V
Cl Na Pd
Cr H Zn
K Pr S
Cd Hf Tb
Ge Pr Zr
Br S Th
Ga In Tb
Cd Fe Ru
Be Sn Th
Be Ca Hg
Au N Pd
C Re Sn
Ag Ti Yb
Kr Tc U
Dy Hf Re
As N Rb
Ag Au Rb
Gd Si Zn
B Re Sm
He Tc Te
Ni O Rb
Ce Cl Kr
B Ce N
H Kr Rh
Cu Np Ti
K Pb Ta
Os Si Yb
Be Ce Ru
Au Cs Y
Ni Np P
Bi N Ti
As Li N
K Si Tc
B La O
O P Ru
Co Mg Ta
H La Sn
In Pt Ru
Gd O Pu
Er Pm Se
H La Ru
Hf Mn Pu
Er La Pb
Cd Pa Pt
Tl Xe Zr
Ge Nb Pr
As Li Re
Cd F Xe
Bi Ce Fe
Cl P Pm
Ir Tb Xe
Be Hf I
Bi Er Th
Kr Sb Se
Bi Ga La
N Re Te
Fe Ni Sr
Ga I Sn
Ac Os Sm
Os Ru Tm
La Tm Yb
C Ir Tl
Al Dy Ga
In Na Ni
La N O
Sm Th V
Np Se Th
Fe H La
Ba Cs Ge
H He Mn
Bi Cr Cs
Cd Lu Sm
Be Pa Yb
Al Mn Nb
As Co Cr
Kr La Re
Bi Br Pu
Ta Ti Y
Cd Co Ga
In Pb Ru
Ce Pr Zr
Ni Te U
Lu Mg Se
Ba Cr Tm
He Ho Na
P Sb Zr
Cl Hg Ir
Cd Cu Pm
Ce Cu La
Dy Lu U
He Pm Sb
Ge Mn Rh
I Mn Nd
C Th Tm
Ca Se Tc
Ca Cl Re
Co Ge Mn
Be Ga Li
Hf Nb Si
Cu Na Pa
Br Pt Zr
Eu F Xe
C Ce Sb
Fe Ga Zr
La Tc Y
Co In Ru
La P Si
Ce Gd Nb
As Tc Te
As Ir Mn
Al Pd Pt
Fe Re Sb
Cu I Nb
B Ge Rh
N Te Tl
Fe Tl Xe
Cs In Tm
Cs La Sr
Np Pt Sn
Hf Np Sc
Fe Mg O
Dy Ga Sr
Ac Er Pm
Bi Cu Rb
Al Ga Ir
Cd Pm Sr
Br Cr Hf
Ga Kr Yb
Mg Si Sn
Bi Eu La
Al Au Ru
Cu Th W
Pd Te Ti
He Re Ru
Fe Lu Re
Ac Er Ta
He Pb Te
Cu K Sn
He Pb Ti
Fe K Rb
Ga Kr Rb
Ge Se Si
Mn Sr Tc
Na Os Zn
Bi Lu Ta
La Rb Sm
As Si Y
