,phases,max Tc,n compositions
880,Fe O Tb Y,160.0,2
881,B Co Fe Nd Tb,102.0,1
882,B Co Nd Tb,681.0,2
883,Eu S Sr,2.0,2
884,La Mn Ni O,149.0,2
885,Fe H Na O Zn,723.0,2
886,Ba Fe O Zn,202.0,1
887,Be Th U,0.39,1
888,Co Dy Ge,11.5,1
889,Fe Sc Ti,130.0,4
890,Cr Fe Ni O,375.0,1
891,Mn O S,10.5,2
892,B Co Fe O,70.0,4
893,B Fe Ni O,12.0,1
894,B Fe Mg O,6.0,1
895,Fe H K O S,48.2,1
896,Rh Si Y,5.0,1
897,Lu Rh Si,17.0,1
898,Ce Ge Ru Si,4.0,1
899,Cu La O Sr,22.0,4
900,B Dy Er Fe,295.0,4
901,Ba Co Cu O Y,38.0,2
902,C D0+ Mn O,1.5,1
903,C Co H O,24.0,4
904,Nd O V,138.0,3
905,Dy Mn O,61.0,49
906,Mn O Tm,36.4,10
907,Er Mn O,37.6,6
908,Fe Mn O Y,391.0,2
909,Mn O Tb,43.0,28
910,Mn Ni Sb,300.0,6
911,Ca La Mn O,320.0,30
912,Bi Cr O,80.0,2
913,Fe Mo O Sr,165.0,1
914,Er Rh Si,13.0,1
915,Ho Rh Si,14.0,3
916,Eu Rh Si,23.5,2
917,Li Ni O P,20.7,1
918,Ge Mn Ni,260.0,4
919,Ir O Yb,150.0,1
920,Er O Ru,95.0,2
921,Ir Nd O,110.0,3
922,Ir O Y,190.0,3
923,O Ru Sm,22.0,5
924,Eu O Ru,23.0,7
925,Nd O Ru,20.0,3
926,O Pr Ru,165.0,4
927,O Ru Yb,8.0,1
928,As Cr Ru,30.0,1
929,Fe Se U,107.0,2
930,Ba Fe Mg O,680.0,3
931,Fe O Pb Ta,55.0,3
932,Cr Fe Mg O,300.0,1
933,Al Cr Cu O,16.5,1
934,Fe Mg Mn O,195.0,1
935,Er Ni Si,2.9,3
936,Fe O Pb W,250.0,3
937,Ni O Re Sr,20.0,1
938,Mn O Pb Re,113.0,2
939,Mn O Sc,23.0,1
940,B Br Ni O,21.0,1
941,Co O Pr Sr,150.0,10
942,Fe Ge Na O,33.8,8
943,Ga Mn Pr,50.0,1
944,Co Ti Y,650.0,1
945,Co Fe Ti Y,615.0,3
946,Ba Cu Nd O Zn,63.0,1
947,Fe Mo Sm,170.0,1
948,Fe Ho Ti,210.0,2
949,Er Fe N Ti,45.0,1
950,Cu Ge Pr,11.8,7
951,Fe Tb Ti,450.0,12
952,Fe Ni Rh,192.0,4
953,Bi Mn O Pb Sr,152.0,1
954,B C Co Gd,4.0,1
955,Cr Mn Sb,318.0,6
956,Cu Mn Sb,225.0,1
957,B Cr Fe Nd,124.0,2
958,Al B Fe Nd,101.0,1
959,B Fe Nd Ni,121.0,2
960,Fe O Si Y,260.0,2
961,O,17.75,1
962,Dy Fe Mo,318.0,18
963,Fe Mo Tb,473.0,11
964,Er Fe Mo,219.0,9
965,Er Fe Mo N,150.0,2
966,Fe Ho Mo,231.0,3
967,Fe Ho Mo N,450.0,1
968,C Fe Tb Ti,395.0,1
969,C Dy Fe Ti,220.0,1
970,C Fe Ho Ti,40.0,1
971,B Co Nd Y,523.0,6
972,B C Co Y,100.0,1
973,Fe H Mo Nd,120.0,3
974,Er Fe Tb Ti,60.0,1
975,B Fe N Nd,140.0,1
976,Mn S Sc,1.9,1
977,B Fe H Nd,145.0,6
978,B Fe Nd Si,106.0,4
979,O Tm V,15.0,1
980,Au Ga U,23.0,3
981,Mn Sb Zn,140.0,2
982,La Mn Nd Si,296.0,9
983,C Co Si Sm,70.0,1
984,Al Fe O Tm,112.0,4
985,La Mn Si Y,310.0,5
986,Dy Fe H Ti,275.0,3
987,Ce Pt Sn,5.2,14
988,Pt Sn Tb,10.0,3
989,Eu Se Sr,4.0,3
990,Ca Fe O Re,140.0,3
991,As Eu P,7.5,1
992,Fe N Nd Ti,255.0,1
993,Pd Sn Tb,23.5,5
994,Rh Ru Si U,47.0,11
995,Mn Tb Y,49.0,2
996,Ge La Mn Y,336.0,10
997,B Ce La,2.7,6
998,Fe Gd Mn,110.0,3
999,Co Gd Mn,54.0,1
1000,Ba Fe O Sr Zn,310.0,3
1001,Cr H O,8.4,2
1002,B C Tb,23.5,1
1003,B C Er,15.5,3
1004,B C Nd,9.0,1
1005,O S Tb,1.25,1
1006,As Np,158.2,7
1007,Be Np,3.4,1
1008,H Tb,16.1,2
1009,Np P,74.5,1
1010,Ag Pr Si,11.5,2
1011,Au Ce Si,8.8,5
1012,Al Cu Tm,1.2,1
1013,Pt Sn Yb,2.0,2
1014,Rh Sn Yb,0.7,1
1015,Rh Sn Tb,6.2,6
1016,Co Ge Tb,30.0,7
1017,Co Sn Tb,36.0,6
1018,B Fe H Y,165.7,1
1019,Eu Ge Zn,9.5,1
1020,Pr Ru Si,14.0,2
1021,B Eu Rh,41.7,2
1022,Al La Mn Ni,24.0,1
1023,Co Ge Mn Ni,265.0,4
1024,Co Fe Tm,400.0,2
1025,Co Er Fe,700.0,3
1026,Al Fe Mn,57.0,1
1027,Ga Mn Ni,340.0,5
1028,In Mn Ni,250.0,8
1029,Co Mn Sn,70.0,1
1030,Co Ga Pr,891.0,4
1031,Co Nd P,65.0,1
1032,Co Ho P,65.0,1
1033,Fe P Sm,3.7,2
1034,Ag Cu Dy,5.0,1
1035,Ce Rh Sn,4.0,6
1036,Ho Mn Sn,260.0,7
1037,Gd Mn Sn,309.0,1
1038,Mn Sn Tb,330.0,9
1039,Dy Mn Sn,270.0,3
1040,Lu Mn Sn,400.0,5
1041,Er Mn Sn,76.0,4
1042,Mn Sn Tm,324.0,2
1043,Mn Sn Y,328.0,1
1044,Gd Ge Ir,8.1,5
1045,Dy Ge Ir,4.79,6
1046,Ge Ir Nd,2.1,2
1047,Er Ge Rh,5.0,2
1048,Gd Rh Sn,11.2,1
1049,Eu Rh Sn,11.0,1
1050,Ho Rh Sn,1.68,1
1051,Dy Rh Sn,4.0,3
1052,Co Cu Pr,280.0,1
1053,Gd In Ni,79.0,5
1054,Gd In Pd,94.0,7
1055,Ce Pd Sb,14.0,2
1056,Pd Pr Sb,10.0,1
1057,Nd Pd Sb,6.8,1
1058,Ga Ni U,41.2,9
1059,Co Sc Sn,100.0,2
1060,Nd Rh Sn,7.9,2
1061,Ag Ho Sn,10.0,1
1062,Cu Si U Y,55.0,1
1063,Dy Ge Mn Si,36.0,2
1064,In Pd Ti,110.0,1
1065,Ni Pr Sn,6.6,3
1066,Cu Fe S,325.0,1
1067,Ir Si Tb,10.0,5
1068,D0+ Fe Ho,75.0,2
1069,Tb Te,5.56,4
1070,Cd Ho,6.8,3
1071,In Np,10.0,2
1072,Np Pd,32.0,5
1073,Er Pt Si,3.0,2
1074,Ga Pr Pt,16.0,1
1075,Ga Nd Pt,10.0,1
1076,Ga Pd Tb,26.0,3
1077,Ga Ho Pd,4.0,2
1078,Er Ga Pd,2.5,2
1079,Ge Ho Ir,4.0,2
1080,Er Ge Ir,2.9,1
1081,Er Ge Pt,3.2,2
1082,Cr Ho Si,1.7,1
1083,Ge Ir Tb,10.3,3
1084,Cu Si Tm,6.9,3
1085,Cu Er Si,4.8,3
1086,Ni Sm Sn,24.0,3
1087,Ag Er Sn,4.3,1
1088,B C Ce,6.5,3
1089,B C Sm,26.0,1
1090,Fe Ge Tb,18.0,6
1091,Eu Ge Ir,7.2,1
1092,Ce Ge Rh,11.0,5
1093,Er In Ni,18.5,4
1094,In Ni Tb,90.0,12
1095,Cu Pr Si,13.5,1
1096,Gd Ge Ni,18.5,4
1097,Ge Ni Sm,17.9,3
1098,Co Cr Ga S,150.0,1
1099,C Er W,5.0,1
1100,C Ho W,7.5,1
1101,C Dy W,22.0,1
1102,C Tb W,30.0,1
1103,Au In Tb,35.0,1
1104,Ho In Pd,6.0,1
1105,Dy In Ni,90.0,8
1106,Ho In Ni,7.0,1
1107,In Nd Pd,15.0,4
1108,Al Cr S Zn,75.0,1
1109,Co Dy Mo,30.0,1
1110,Ge Mn Sm Y,328.0,5
1111,B Co Ge Nd,530.0,1
1112,B Co Nd Ni,536.0,2
1113,B Co Ga Nd,566.0,1
1114,B Co Cu Nd,549.0,1
1115,Cr Fe Tb,298.0,6
1116,Cr Er Fe,55.0,3
1117,Cr Fe Ho,157.1,2
1118,C Fe Lu Nd,117.0,1
1119,C Dy Fe Nd,98.0,1
1120,Co Ho Ti,273.0,4
1121,Co Fe Gd Ti,650.0,3
1122,Co Er Fe Ti,45.0,1
1123,Co Dy Fe Ti,195.0,2
1124,Co Fe Ho Ti,271.1,5
1125,B Er Fe H,352.0,2
1126,B Dy Fe H,45.0,1
1127,B D0+ Fe Ho,90.0,1
1128,B Fe H Ho,126.0,2
1129,Ce La Mn Si,260.0,3
1130,Fe Nd Sm,232.0,2
1131,B Er Fe Th,250.0,4
1132,B Co Dy Fe Nd,114.0,1
1133,Ni Sn U,47.0,1
1134,In Pd U,8.5,3
1135,Cu Gd Sn,8.5,6
1136,Cu Ho Sn,6.0,6
1137,Co Cr Cu Se,147.0,2
1138,Mo Si Tb,2.3,1
1139,Fe Sn Tb,27.0,2
1140,Dy Fe Sn,19.0,2
1141,H Mn Y,180.0,2
1142,Co Ge Mn Si,392.0,3
1143,P Se U,62.0,3
1144,Ag Gd Zn,55.0,3
1145,Ag Cu Tb,11.0,2
1146,Co Nd Y,55.0,6
1147,Ho Os Si,8.6,1
1148,Fe Ru Si,575.0,2
1149,Ce In Sn,2.1,3
1150,B Fe Nd Ru,96.0,2
1151,Co Fe S Ti,10.0,1
1152,As Mn Rh,240.7,7
1153,Ge Pd Si Yb,69.1,2
1154,B Co Er Fe,373.0,2
1155,Ge Ir U,33.0,2
1156,C Ga In Mn,163.0,2
1157,Al C Ga Mn,160.0,4
1158,Al Au Mn,50.0,1
1159,Ge Si Tb,208.0,12
1160,Gd Ge Mn Sm,332.0,4
1161,B C Fe Nd,130.0,3
1162,C Er Fe Mn,263.0,2
1163,B Fe Ga Nd,130.0,4
1164,B Co Fe Gd,370.0,3
1165,B Cu Er Fe,310.0,1
1166,B Fe Ge Nd,126.0,1
1167,Ag Cu Yb,42.3,1
1168,As Cr Mn P,180.0,1
1169,Co Fe Nd V,518.0,2
1170,Al Ga Ho,18.5,3
1171,Ag Ce Cu,0.72,1
1172,Co La Nd,175.0,1
1173,Al Co Ho,493.0,8
1174,B Co Fe Nd Re,121.0,1
1175,C Fe H Tm,302.0,2
1176,C Er Fe H,315.0,2
1177,Co Dy Fe V,750.0,5
1178,Al Ga Gd,22.9,2
1179,Ba Ge Ni,200.0,1
1180,Al Fe Np,118.0,2
1181,Fe Ge Lu,90.0,2
1182,Cr N V,90.0,1
1183,Ge Pr Sc,82.0,2
1184,Cu Fe Te,41.0,3
1185,Eu Pt Sb,11.8,3
1186,Fe Ho Sn,8.0,1
1187,Er Fe Sn,4.8,2
1188,Ga Ni S,9.0,3
1189,As Se U,137.0,14
1190,Sb Te U,175.0,4
1191,Mg Mn Ni O,65.0,1
1192,Fe Tb W,440.0,1
1193,Co Fe Tb W,460.0,1
1194,Al Cu Fe U,120.0,1
1195,Eu O Sr V,32.0,2
1196,Pd U Y,30.0,1
1197,B Co Fe La,24.0,1
1198,B Fe La,40.0,1
1199,O Sr V,127.0,3
1200,Mo O Y,20.0,1
1201,Ga Nd O Si,33.0,1
1202,Dy Fe O Tm,50.0,1
1203,B I Ni O,30.0,1
1204,Ce O Ti,81.0,2
1205,Ca Nd O V,10.7,1
1206,Ca Mn O Pr,250.0,23
1207,Co Ge Ho,6.7,1
1208,Dy O S,2.4,1
1209,Cu Eu O Tb,245.0,1
1210,Cu Eu Gd O,256.0,1
1211,Ba Fe Nb O,25.0,2
1212,Ge Mn Ni Si,212.0,2
1213,Co O Sm Sr,15.0,1
1214,Co Cu La O,380.0,1
1215,Co La Mn O,228.0,5
1216,Ba Co Gd O,365.5,19
1217,Ba Co Fe O Zn,408.0,5
1218,B Co Fe Gd Nd,109.0,2
1219,Cu Fe In S,38.0,1
1220,B Co La Y,190.0,2
1221,Mn Sb Sn,240.0,2
1222,Ag In Mn Te,650.0,2
1223,Cu In Mn Te,760.0,2
1224,Al B Co Fe Nd,119.0,1
1225,Cr Ni Te,66.0,1
1226,Fe La Mn O,23.5,5
1227,Mn Na O,90.0,2
1228,Dy O P,2.25,2
1229,Cr O Tb,9.0,1
1230,Ca Dy Fe O Sn,175.0,1
1231,Fe Mn O W,13.6,3
1232,Cd O Os,150.0,1
1233,B Gd Rh,10.0,2
1234,B Rh Yb,0.2,2
1235,B Rh Sm,73.0,2
1236,B Er Ru,27.3,1
1237,B Ru Tm,18.3,1
1238,B Ho Ru,16.1,1
1239,B Dy Ru,40.1,1
1240,B Nd Ru,33.2,1
1241,B Pr Ru,6.85,1
1242,Ge Mn Tm,85.0,4
1243,D0+ Mn Zr,175.0,1
1244,K Np O,19.5,1
1245,Fe S U,107.0,1
1246,Mn N Zn,135.0,3
1247,Ca Cu Mn O,114.0,5
1248,Al Dy Ga,17.0,1
1249,Bi Fe O Sr,730.0,2
1250,Nd Rh Ru Si,16.0,1
1251,Fe Mo Tm,204.0,2
1252,Fe Lu Mo,245.0,5
1253,Fe Mo N Tm,50.0,1
1254,Ce Cu Gd O,14.0,19
1255,Ce Cu O Pr,19.2,1
1256,Ba La Mn O,345.0,9
1257,Dy Fe O Y,40.0,1
1258,B Er Fe Nd,163.0,4
1259,B Fe Gd Nd,120.0,1
1260,B Fe Ho Nd,118.0,1
1261,B Fe Nd Y,120.0,3
1262,Al Co Dy,428.0,5
1263,Cu Ge Ni U,117.0,1
1264,Ce Co Ga,65.0,1
1265,Co Ga Nd,303.0,4
1266,Al Co Fe Pr,305.0,2
1267,B Dy Fe Tm,97.4,1
1268,B Co Fe Tm,341.0,2
1269,C Fe Th,202.0,2
1270,Co H O P,13.0,2
1271,Al Er Fe N,287.0,2
1272,Dy Fe Sm,320.0,1
1273,Co Dy Fe Tb,290.0,8
1274,Fe Mn Sb,325.0,1
1275,F Fe Rb,77.0,1
1276,Er Fe H Mo,40.0,3
1277,C Er Fe Mo,150.0,1
1278,C Dy Fe Mo,80.0,1
1279,Fe Ge Pd U,100.0,3
1280,Ca Mn O Pr Sr,370.0,5
1281,Al Dy Y,6.0,1
1282,Co Fe Rh,250.0,1
1283,Ba Cu Fe Lu O,200.0,1
1284,Cl Cr Fe H N O,2.01,1
1285,F Fe K Mn,108.0,4
1286,F Fe Li Mn,2.0,1
1287,Cr O Yb,24.0,1
1288,Cr O Pr,8.0,1
1289,Fe H O P,15.0,1
1290,Ag Mn N,90.0,1
1291,Br Fe,4.64,1
1292,Ce Fe Ru,115.0,4
1293,Cu Ge O Zn,11.6,2
1294,Ba Cu La O,42.0,3
1295,Ir Mn,125.0,1
1296,I V,14.4,4
1297,Fe Hf Ta,300.0,9
1298,Ba S V,30.0,4
1299,Cl Fe H O,11.2,1
1300,Cl Co H O,400.0,2
1301,As Mn Zn,118.0,1
1302,Br Cs Fe,2.6,2
1303,Cr Sb Te,125.0,1
1304,Co Cr Fe O,280.0,3
1305,Fe Mn O Ti,36.5,4
1306,Fe Ni O Ti,60.0,1
1307,Ce Zn,15.0,1
1308,La Ni O Sr,225.0,2
1309,Ir Si Tm,1.9,1
1310,Ir Si Yb,1.1,1
1311,Eu Pd Sn,12.0,1
1312,Ca Cu La O,115.0,2
1313,Cu Fe O Sr Y,20.0,1
1314,Fe H Na O S,54.0,1
1315,Ga Sn U,35.0,1
1316,Ba Cu Fe Nd O,75.0,1
1317,Cu O Sm Y,9.0,1
1318,Cu Eu O Y,5.0,1
1319,Au Ce Ge,12.1,2
1320,Ni O Pr,117.0,3
1321,Nd Ni O Sr,70.0,1
1322,Cu H O Y,5.8,2
1323,Bi Pt Yb,0.4,1
1324,Dy Mn Y,108.0,1
1325,I K U,2.4,1
1326,Dy Fe Nb,215.0,2
1327,Fe Nb Tb,365.0,2
1328,Er Fe Nb,44.0,2
1329,B C Er Ni,6.0,9
1330,B C Ni Tm,20.0,3
1331,Ce Cu Ge Si,2.23,10
1332,Ce Fe Ge Ru,4.8,1
1333,Ca La Ni O,180.0,1
1334,B C Co Gd Ni,3.5,1
1335,B C Gd Ni,14.0,11
1336,Co Dy Fe Sm,135.0,1
1337,Gd Pd Si,18.2,3
1338,O Te U,23.0,1
1339,Ni P U,130.0,1
1340,Co Ge U,280.0,3
1341,Ba Mn S Sr,230.0,2
1342,B Co O P,25.0,1
1343,Al Ge U,40.0,1
1344,Ga Ge U,63.0,1
1345,Ca Co Mn O,13.0,1
1346,Ag Ge Yb,0.8,17
1347,Dy Ge Pt,5.0,2
1348,Ba Co O Y,274.0,15
1349,N Sr Ti,41.5,1
1350,La Ni O Re,14.0,1
1351,Eu Ga,6.0,1
1352,Fe Pb S Sb,5.0,1
1353,Ba Cu O P,20.0,1
1354,Mn Na O Pr,100.0,3
1355,Mn Na Nd O,40.0,3
1356,As Fe Li O P,18.0,1
1357,C Cr H Mn N O,61.0,1
1358,Bi Ca Mn O,330.0,7
1359,Mn Nd O Sr,220.0,24
1360,Fe Mn O Sr,45.0,2
1361,In Pr Pt,5.0,1
1362,In Nd Pt,9.0,1
1363,Ba Ir Li O,75.0,1
1364,Ba Ir Na O,50.0,1
1365,Ca Mn O Ru,125.0,1
1366,Ca Mn O Sb,99.0,1
1367,Ba Ho O Ru,22.0,1
1368,Cu Gd O Ru Sr,182.0,12
1369,Cu O Ru Sr Y,48.0,1
1370,Fe Ge Zr,200.0,1
1371,Fe Ge Nb,450.0,2
1372,Eu Ge Mn,9.0,1
1373,Cu Eu Ge,8.0,5
1374,Ce Fe Mn,75.0,5
1375,Ge Ho Ru,7.5,4
1376,Mn Ni Sn Zr,277.0,1
1377,B Fe H Tm,325.5,1
1378,Ir Nd Si,18.2,1
1379,Fe Si Sm,8.96,4
1380,Er Ni Sn,18.0,6
1381,Al Er Gd,55.0,4
1382,Al Gd Pr,108.0,1
1383,Cu Eu Ge Si,13.9,1
1384,Ga Gd Ge Mn,198.0,3
1385,Mn Pr Sn,25.0,2
1386,Ce Ir Si,3.3,4
1387,Cu Sn Tb,12.6,1
1388,Ge Mn Y,80.0,1
1389,Au Pr Sn,2.7,1
1390,Cu Ge La Mn,237.0,2
1391,Au Nd Sn,11.0,5
1392,Bi Er Mn,115.0,3
1393,Cu Mn O,42.0,1
1394,Ce Pd Sn,4.8,5
1395,Au Ge Ho,3.5,2
1396,Dy Fe Si Sm,52.0,1
1397,Dy Fe Ni Si,60.0,1
1398,Ce Fe La Si,201.0,2
1399,Co Cu Dy,257.0,1
1400,D0+ Fe Y,200.0,12
1401,D0+ Er Fe Y,110.0,2
1402,D0+ Fe Tb Y,130.0,2
1403,Fe H Tb Y,170.0,3
1404,Er Fe H Y,160.0,2
1405,Co Nd Tb,227.0,3
1406,Cr Fe O Sr,60.0,1
1407,Dy Y,55.0,2
1408,Fe Mn Pt,129.0,2
1409,Ca La Mn O Sr,270.0,3
1410,Er Fe Ga Ti,120.0,1
1411,Fe Sb Yb,50.0,1
1412,Ga Ge Ho Mn,206.0,2
1413,Er Ga Ge Mn,280.0,5
1414,Dy Ga Ge Mn,160.0,4
1415,Ag Ce Ga,3.95,1
1416,Ba Co O Tb,348.3,11
1417,B C Ni Pr,9.0,2
1418,B C Dy Ni,10.4,4
1419,B C Ni Tb,9.0,4
1420,Al Cr Cs F Na,170.0,1
1421,Ca Mn Ni O,7.0,1
1422,Ca Mn O Zn,14.0,1
1423,Cu Fe Mn O Tb,77.0,2
1424,Cu Fe Ho Mn O,29.0,2
1425,Cu Dy Fe Mn O,56.0,2
1426,Cu Er Fe Mn O,40.0,2
1427,Ge Pt Tb,12.0,6
1428,La Mg Mn O,84.0,1
1429,Mn O Ru Sr,150.0,2
1430,Ba Co Nd O,355.1,7
1431,Co Ga Gd,650.0,1
1432,Ca Co Ir O,30.0,1
1433,Ba Co Cu S,29.0,1
1434,Al Cu Mn U,40.0,3
1435,Fe Se Te,60.0,1
1436,As Ce Fe O,145.0,5
1437,Al C Fe La,138.0,5
1438,Ni Sb U,60.0,1
1439,Bi Cu U,15.0,1
1440,Pu Rh Si,95.0,1
1441,Ca Ce Mn O,107.0,2
1442,Al Co Tb,351.0,2
1443,Ca Ga Mn O Sr,190.0,7
1444,Co La Nd O Sr,146.0,1
1445,Ca Ge La Mn,80.0,2
1446,Co Li Ni O,230.0,1
1447,As Mn Nd O,23.0,2
1448,Mn O Pr Sb,80.0,1
1449,As Fe Nd O,145.0,5
1450,Ba Co O Pr,215.0,16
1451,Co O Os Sr,67.0,1
1452,Ca Gd Mn O,25.0,2
1453,Mn Nd Si Tb,168.0,3
1454,Fe Ta Tb,338.0,1
1455,Er Fe Ta,49.0,5
1456,Dy Fe Ta,285.0,7
1457,Cr La O Sr,160.0,2
1458,Cu Gd Nd O Ru Sr,132.0,1
1459,Ce Ge Mn Sm,422.0,9
1460,Ce Mn Si Tb,60.0,2
1461,La Mn O Sm Sr,50.0,1
1462,Co Dy Er Ti,58.0,1
1463,Ce Cu O Ru Sr Y,125.0,4
1464,Ce Ge Mn Tb,336.0,2
1465,Ho Ni Y,3.4,2
1466,Gd Ge Mn Pr,343.0,6
1467,H Ni Si U,90.0,6
1468,Co Na O,450.0,18
1469,Ce Cu Eu O Ru Sr,150.0,20
1470,Fe Li Mn O P,8.0,2
1471,Co La O Pr,180.0,1
1472,La O Pr Ru,155.0,1
1473,Mn O V,58.0,8
1474,Co Ni O Pr,22.0,1
1475,O Ru Sr Y,24.0,2
1476,Mn O Sm Sr,110.0,6
1477,Al Ce Pt,4.3,6
1478,Ba Co La O,260.0,4
1479,Mn O Pr Sr Y,141.0,2
1480,Ca La Mn O Pr,199.0,5
1481,Gd Ni Sn,85.0,2
1482,Bi Fe O Sm,200.0,2
1483,Ca Dy Mn O Y,110.0,2
1484,Ca Mn Mo O,110.0,1
1485,O V,50.0,2
1486,Fe O Sr Te,60.0,1
1487,Ca Cu Fe O,210.0,1
1488,As Fe O Sr V,170.0,4
1489,Cl H Mn O,2.16,4
1490,Cl Cs Mn,180.0,1
1491,Cl Mn Rb,180.0,1
1492,H Ni O,10.0,1
1493,Fe Nb S,60.0,1
1494,Cr La Nd O,233.0,4
1495,Ba Cl F Mn Ni,50.0,1
1496,Ga Mn Se Zn,7.5,2
1497,Ba Co Cu Fe O Y,190.0,1
1498,Ba Gd Mn O,62.0,3
1499,Ba Cu O Pt Tm,4.5,1
1500,Cr Mn Nd O,90.0,1
1501,Ba O Pr Sr,10.5,1
1502,In Mn O,42.0,1
1503,Ba Mn Nd O,290.0,6
1504,Ce La O V,125.0,1
1505,Ba Fe O Ru,25.0,1
1506,La Ni O Rh,40.0,1
1507,Ca Co O Rh,30.0,1
1508,In Nd Ni,6.0,3
1509,Ca Cr O Pr,190.0,1
1510,Ba Co Ho O,178.2,1
1511,Ba Co Dy O,265.0,5
1512,Ba Co O Sm,366.7,3
1513,Fe In O Ti,5.0,1
1514,Ba Ca Ni O Y,3.0,1
1515,Ca O Pt Sr,135.0,3
1516,O Pt Sr,95.0,1
1517,Ga Mn Si Tb,90.0,3
1518,Ga Ho Mn Si,90.0,2
1519,Ag Dy Ge,11.0,1
1520,Ag Ge Tb,20.5,2
1521,Ge Ho Ti,85.0,1
1522,Gd In Mn,120.0,1
1523,Co Fe Hf Ta,290.0,1
1524,Co Gd O Sr,307.0,2
1525,La Na O Ru,15.0,1
1526,In Pd Sm,5.5,1
1527,O Pb V,130.0,4
1528,Fe O P Sr,165.0,6
1529,Eu Fe Sb,84.0,1
1530,Li O Ru,12.0,1
1531,Li Mn N,8.0,1
1532,Co O Sr,225.0,6
1533,Mn Nd O Pb,20.0,2
1534,Cl Co O Te,15.0,2
1535,Bi Cl Mn S,28.0,1
1536,Co Cu O Sr Y,130.0,1
1537,Sb Sn U,163.0,1
1538,B Co Nd Si,43.0,1
1539,Eu Ni Sb Sn,6.0,1
1540,Ca Mn O W,110.0,2
1541,C Dy Fe V,214.0,2
1542,C Er Fe V,45.0,1
1543,Ca Mn O Tb,33.0,1
1544,Mo O Sm,0.8,2
1545,Gd O Ru,14.5,4
1546,Bi O Tc,150.0,1
1547,Cu Ni O S Sr,170.0,3
1548,Co La Mn O Sr,226.0,4
1549,Ba Ir M0+ O,160.0,1
1550,As Gd Mn Na O,8.0,1
1551,Ca Na O V,100.0,3
1552,D0+ Fe N O P,3.52,2
1553,Fe H N O P,3.52,2
1554,Al Fe La Pr,135.0,5
1555,Ba La Mn O Ti,27.6,1
1556,Eu Ga Rh,8.0,1
1557,Bi Fe Nd O,495.0,4
1558,Ca Co Na O,270.0,1
1559,Ca Eu Mn O,100.0,1
1560,Eu Mn O Y,30.0,6
1561,Fe O Sb Sr,37.0,1
1562,Ba Co Fe O Ti,479.0,1
1563,Ge Mn Nd Si,330.0,6
1564,Bi Cr Mn O,96.0,3
1565,Cd O Tc,200.0,1
1566,As Fe Sr,240.0,9
1567,As Ca Fe,170.0,10
1568,Eu Mn O Tb,25.0,1
1569,Cu Sn Tm,1.8,2
1570,Fe K Mo O Sr,451.0,6
1571,C H Mn O,10.9,2
1572,Au C Co H N O,0.26,1
1573,Ce Cu Eu Mn O Ru Sr,70.0,1
1574,Ge Lu Mn Pr,321.0,5
1575,Dy Fe Mn O,210.0,3
1576,H N Ni O,3.97,3
1577,Ba C Fe H Mn N O Rb,2.0,1
1578,Co Dy Mn O,85.0,2
1579,Ce Ga Pt,5.5,2
1580,Ba Fe O Se,115.0,2
1581,As Fe O Pr Ru,14.0,1
1582,Cr Cu Ga O,17.0,1
1583,Mg Sn Tb,65.0,1
1584,Mg Pr Sn,15.0,1
1585,Ca Mn O Sm,270.0,5
1586,Lu Mn O,37.0,4
1587,Al Mn O Tb,24.2,3
1588,La Mn O Se,275.0,3
1589,Co Ir O Sr,25.0,1
1590,Mn O Sc Tb,6.0,1
1591,Cu In Mn Se,27.5,1
1592,Al Gd Ru,7.8,1
1593,Co Mn O Tb,100.0,2
1594,Ge In Tb,70.0,2
1595,Ge Ho In,6.0,1
1596,Fe Mo N O Sr,115.0,1
1597,Ge Nd Si,102.0,1
1598,Ga Ge Mn Y,230.0,6
1599,Ga Ge Mn Tb,363.0,4
1600,In Mn Sn Tm,287.0,2
1601,Co Pr Sm,70.0,2
1602,Gd Ge Mn Nd,262.0,4
1603,Ce Gd Mn Si,35.0,1
1604,Gd Mn Pr Si,35.0,3
1605,Cr O Zn,7.7,1
1606,Ge Mn Pr Si,272.0,3
1607,Cr La Mn O Sr,235.0,3
1608,Co Hf Nd Y,290.0,1
1609,Co Nd Zr,300.0,1
1610,Co Hf Nd,309.0,1
1611,F Fe Zn,35.8,2
1612,Gd La Mn Si,255.0,3
1613,Dy La Mn Si,371.0,3
1614,La Mn Pr Si,300.0,6
1615,La Mn Si Sm,298.0,6
1616,Er La Mn Si,288.0,2
1617,Ge Ho Mn Pr,336.0,2
1618,Gd Pd Y,190.0,2
1619,Ba Fe La O,250.0,3
1620,La Mn O Sr Ti,140.0,4
1621,As Ba Fe Ru,80.0,2
1622,Ho Ni Sn,35.0,1
1623,Fe Ge U,80.0,1
1624,Al Ca Mn O Pr,50.0,1
1625,As Eu Fe,193.0,18
1626,As Ca Eu Fe,191.0,4
1627,H Ho Mn,252.5,4
1628,Al In Ni Tb,56.0,3
1629,Fe Ga Ni S,10.1,2
1630,Cd Cr Fe O,28.0,1
1631,Ce H In Ni,10.5,1
1632,Eu O Sm,71.0,1
1633,Dy Pd S,2.7,3
1634,Co Ho Mn Sn,325.0,3
1635,Al D0+ Fe Ho,195.0,1
1636,Eu La Mn O Pb,235.0,2
1637,Co Er Y,50.0,10
1638,Dy Pd S Y,1.9,2
1639,Fe La Pr Si,205.0,2
