,phases,max Tc,n compositions
213,Ag Dy,46.6,6
214,Eu Si,40.0,3
215,Ag Ga Tb,25.0,1
216,Ag Nd Si,11.0,1
217,Er Ge,7.5,2
218,Er Mn,330.0,8
219,Al Fe La,137.0,2
220,Al Gd Mn,218.0,1
221,Mn Tb,62.0,9
222,Cr Se,91.0,6
223,Au Mn,136.0,1
224,B C Gd,55.0,4
225,B Dy,12.8,1
226,B Dy Si,10.0,1
227,Er Ni,12.0,1
228,B Fe Pr,234.3,5
229,B Gd Si,44.0,2
230,B Ho,5.7,1
231,Bi Ce,30.0,7
232,B Mn,226.0,6
233,B Tb,24.0,3
234,B Ni Y,68.0,1
235,C Ce Ge,4.2,1
236,Ce Co In,0.11,1
237,Ce Cu Ge,9.0,4
238,Ce Cu Pb,5.2,2
239,Ce Ge Ni,10.5,28
240,Ce La Si,0.5,1
241,Ce Pt Si,2.4,1
242,C Fe Nd,232.0,7
243,Co Gd Si,326.0,2
244,Co Ge Yb,1.1,1
245,Co Nd O,1.2,1
246,Co Nd Si,84.0,10
247,Co P Yb,5.0,1
248,Cr Cu O,23.6,5
249,Cr Cu S,84.0,1
250,Cr Fe Ni,650.0,1
251,Cu Dy Sn,3.4,1
252,Cu Gd O,260.0,26
253,Cu Gd Si,13.5,3
254,Cu Ge Tb,18.0,8
255,Cu Ge Tm,2.3,4
256,Ho Sb,40.0,1
257,Cu In Te,373.0,1
258,Cu La O,300.0,6
259,Cu Na O,13.0,3
260,Cu Nd O,80.0,12
261,Cu O Pr,200.0,2
262,Cu O Y,257.0,3
263,Dy Sb Zr,21.0,1
264,Dy Zn,33.0,3
265,Er Fe V,65.0,7
266,Fe Gd Sn,45.0,2
267,Fe Ge Ho,40.0,4
268,Fe Ho Sb,40.0,2
269,Fe Nd Si,690.0,3
270,Fe O Y,252.8,3
271,Fe P Pr,20.0,9
272,Ga Ho,20.0,4
273,Gd In,102.0,10
274,Gd Mn Ni,78.0,3
275,Gd Mn O,39.0,17
276,Gd Sc Si,52.0,1
277,Gd Sc,110.0,3
278,Gd S,47.0,8
279,In Sm,15.1,2
280,Ge Mn Tb,300.0,14
281,Rh Sm,25.0,5
282,Ge Rh Sm,11.5,1
283,Ge U,32.0,4
284,Ho Ni,25.0,7
285,La Mn O,320.0,9
286,Ni Pr,0.0004,1
287,Mn Nd O,78.0,6
288,Nd Pd,33.0,2
289,Ni P Sm,10.0,2
290,Te Tm,27.5,2
291,Rh Si Sm,23.0,4
292,Ru Si Sm,16.0,3
293,Sb Sm,100.0,1
294,Cl Cu,24.0,1
295,Ag Ga Gd,9.0,2
296,Ga Gd,100.0,2
297,Al Ce Ga,8.0,2
298,Al Fe Nd,371.0,8
299,Al Fe O,126.5,1
300,Al Fe V,105.0,3
301,Al Gd O,0.142,1
