Unnamed: 0,phases,av. probability,norm. score,regression,error bar
554,AsFHf,0.7571727408333336,0.0983513816556952,5.651869,0.4614695628751974
750,AuFPb,0.7556436905666666,0.0932320365375883,3.9859314,0.4303642651677852
700,BiCdF,0.756063768533333,0.0882117511777916,3.6232276,0.4303642651677852
1358,BiClPb,0.7508014209666666,0.0789723860879576,3.6461058,0.4303642651677852
1185,BiCrF,0.7521237225333333,0.0832960432609612,3.5522065,0.4303642651677852
526,BiFHf,0.7574021940333334,0.0905715574974663,4.3648276,0.3109028447728275
309,BiFHg,0.760316470633333,0.0897084720698064,3.5178413,0.4303642651677852
1066,BiFV,0.7530532444333334,0.0904098924037951,3.5809736,0.4303642651677852
520,BiFY,0.7574531960333334,0.0984129748532962,3.5448751,0.4303642651677852
1114,BiFZr,0.752705114833333,0.0909769271607759,3.6763887,0.4303642651677852
1186,CdCsF,0.7521224068666661,0.0908746714907234,4.585771,0.3190246191206968
830,CdFPb,0.7550312281666669,0.0795771530928706,4.0977125,0.3109028447728275
697,ClHfI,0.7560801684000003,0.0998770776710109,3.6164546,0.4303642651677852
1300,ClPbTe,0.7512628157333332,0.0997453833613651,3.875742,0.4303642651677852
269,CsFPb,0.7612872702,0.0885204113414543,5.1524878,0.4362303784274193
1370,FHfHg,0.7506984658666673,0.0719624166647091,3.9634628,0.4303642651677852
751,FHfPb,0.7556409671666668,0.0819772487232268,5.2831545,0.4362303784274193
511,FHfTe,0.7575376636333334,0.0975452873871242,4.976123,0.3190246191206968
388,FHgPb,0.7589642205333328,0.0811015833283232,3.6542811,0.4303642651677852
314,FHgTe,0.7601083201333333,0.0999929618741384,3.5750256,0.4303642651677852
1407,FHgY,0.7504592494999994,0.0802731786969614,3.4945478,0.5851983198423127
1461,FHgZn,0.7501281042000002,0.0911177195608423,3.638495,0.4303642651677852
1250,FPbW,0.7516403276666668,0.0973859446403015,4.4734526,0.3109028447728275
